learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
74.0,0.045802751,9.387129345033319E-9,74.0,39.189189189189186,-21.62162162162162,74.0,792216.0,100.0,0.0
148.0,0.144085747,2.9529919368047268E-8,148.0,39.189189189189186,-21.95568577183667,148.0,792216.0,100.0,0.0
222.0,0.189294086,3.879522584859282E-8,222.0,40.99099099099099,-18.2099016340135,222.0,792216.0,100.0,0.0
296.0,0.229819053,4.710069001017138E-8,296.0,44.25675675675676,-11.486486486486491,296.0,792216.0,100.0,0.0
370.0,0.269850814,5.530507315773517E-8,370.0,44.5945945945946,-10.830240509658367,370.0,792216.0,100.0,0.0
444.0,0.307833476,6.308949992857873E-8,444.0,45.4954954954955,-9.02670671320722,444.0,792216.0,100.0,0.0
518.0,0.344777723,7.066110682057215E-8,518.0,46.71814671814672,-6.562118004829911,518.0,792216.0,100.0,0.0
592.0,0.380246171,7.793025336252525E-8,592.0,46.79054054054054,-6.426207053989278,592.0,792216.0,100.0,0.0
666.0,0.415288443,8.51120564775355E-8,666.0,46.3963963963964,-7.276861853325762,666.0,792216.0,100.0,0.0
740.0,0.449596653,9.214341590104623E-8,740.0,45.94594594594595,-8.240938478190902,740.0,792216.0,100.0,0.0
814.0,0.483268149,9.904428279859943E-8,814.0,46.19164619164619,-7.618656653345083,814.0,792216.0,100.0,0.0
888.0,0.516138337,1.0578092414906246E-7,888.0,46.3963963963964,-7.207207207207212,888.0,792216.0,100.0,0.0
962.0,0.5682747,1.1649049308345133E-7,962.0,46.67359667359668,-6.652806652806653,962.0,794024.0,100.0,0.0
1036.0,0.632401643,1.2986124914225604E-7,1036.0,48.3,-3.4049634382450433,1036.0,805968.0,100.0,0.0
1110.0,0.672008721,1.3813352010511276E-7,1110.0,49.8,-0.4445974012461648,1110.0,807336.0,100.0,0.0
1184.0,0.709756402,1.4601744038450014E-7,1184.0,52.2,4.435167858228168,1184.0,807336.0,100.0,0.0
1258.0,0.748714379,1.5415414115067986E-7,1258.0,53.300000000000004,6.7186538722744675,1258.0,807336.0,100.0,0.0
1332.0,0.789150023,1.6259946508307424E-7,1332.0,54.7,9.40000000000001,1332.0,807336.0,100.0,0.0
1406.0,0.827672691,1.7064524790775446E-7,1406.0,55.900000000000006,11.897265418977458,1406.0,807336.0,100.0,0.0
1480.0,0.865643441,1.7857575802170156E-7,1480.0,57.9,15.717065592543063,1480.0,807336.0,100.0,0.0
1554.0,0.911263986,1.8810399208413853E-7,1554.0,59.199999999999996,18.399999999999995,1554.0,807336.0,100.0,0.0
1628.0,0.969489473,2.0026487417214036E-7,1628.0,61.8,23.38763051177865,1628.0,807336.0,100.0,0.0
1702.0,1.005753554,2.078389321284224E-7,1702.0,64.1,27.48119359087274,1702.0,807336.0,100.0,0.0
1776.0,1.037926246,2.1455846912200047E-7,1776.0,66.0,31.519265241998834,1776.0,807336.0,100.0,0.0
1850.0,1.070322673,2.2132473504983304E-7,1850.0,68.10000000000001,35.73730862207897,1850.0,807336.0,100.0,0.0
1924.0,1.100549897,2.276380072669809E-7,1924.0,69.8,39.544864916804116,1924.0,807344.0,100.0,0.0
1998.0,1.137656854,2.3538841414359502E-7,1998.0,72.1,44.24772394830025,1998.0,807368.0,100.0,0.0
2072.0,1.174899707,2.431675905565276E-7,2072.0,72.5,45.055384172753854,2072.0,807408.0,100.0,0.0
2146.0,1.205987517,2.496611198863491E-7,2146.0,73.7,47.27683869519197,2146.0,807408.0,100.0,0.0
2220.0,1.235724416,2.5587247494270204E-7,2220.0,74.7,49.31769193169707,2220.0,807408.0,100.0,0.0
2294.0,1.266149011,2.622274738950386E-7,2294.0,75.5,50.895899306529834,2294.0,807408.0,100.0,0.0
2368.0,1.295901243,2.6844203166284706E-7,2368.0,76.3,52.5069135505591,2368.0,807408.0,100.0,0.0
2442.0,1.326960116,2.749295167181372E-7,2442.0,77.10000000000001,54.073610576305995,2442.0,807408.0,100.0,0.0
2516.0,1.357704439,2.813512995045736E-7,2516.0,77.7,55.24209410801307,2516.0,807408.0,100.0,0.0
2590.0,1.386906817,2.874510054035589E-7,2590.0,78.8,57.46064106011294,2590.0,807408.0,100.0,0.0
2664.0,1.417045015,2.9374618260198384E-7,2664.0,79.3,58.53132787896757,2664.0,807408.0,100.0,0.0
2738.0,1.448554932,3.0032788038705586E-7,2738.0,79.4,58.7577679543853,2738.0,807408.0,100.0,0.0
2812.0,1.478426638,3.0656739352879223E-7,2812.0,80.7,61.36321778332974,2812.0,807408.0,100.0,0.0
2886.0,1.508222402,3.127910441313415E-7,2886.0,80.7,61.38609899563844,2886.0,807408.0,100.0,0.0
2960.0,1.539552981,3.1933528232813917E-7,2960.0,81.3,62.596109995439505,2960.0,807408.0,100.0,0.0
3034.0,1.576629317,3.27079677165161E-7,3034.0,82.5,64.98879641485274,3034.0,807408.0,100.0,0.0
3108.0,1.612175144,3.345044573982598E-7,3108.0,82.5,64.99047740985547,3108.0,807416.0,100.0,0.0
3182.0,1.644161556,3.4118575024159004E-7,3182.0,82.6,65.16781506111646,3182.0,807416.0,100.0,0.0
3256.0,1.673539412,3.473221702641042E-7,3256.0,82.6,65.11502018918083,3256.0,807416.0,100.0,0.0
3330.0,1.703723059,3.5362690318277935E-7,3330.0,83.39999999999999,66.75531914893617,3330.0,807416.0,100.0,0.0
3404.0,1.732634794,3.596659602718883E-7,3404.0,83.39999999999999,66.76024525332296,3404.0,807416.0,100.0,0.0
3478.0,1.761551887,3.657061365351971E-7,3478.0,83.89999999999999,67.79871194847793,3478.0,807416.0,100.0,0.0
3552.0,1.791136617,3.7188576821194964E-7,3552.0,84.3,68.60075358191403,3552.0,807416.0,100.0,0.0
3626.0,1.827227904,3.79424483637102E-7,3626.0,84.0,68.0,3626.0,807416.0,100.0,0.0
3700.0,1.856707472,3.855821491702936E-7,3700.0,84.5,69.0,3700.0,807416.0,100.0,0.0
3774.0,1.885274138,3.915491285584039E-7,3774.0,85.1,70.19976159809278,3774.0,807416.0,100.0,0.0
3848.0,1.913341821,3.9741188082823533E-7,3848.0,85.1,70.1985695313375,3848.0,807416.0,100.0,0.0
3922.0,1.942731417,4.03550753091344E-7,3922.0,85.9,71.78510253413802,3922.0,807416.0,100.0,0.0
3996.0,1.97440737,4.1016719753921034E-7,3996.0,85.7,71.36563876651982,3996.0,807416.0,100.0,0.0
4070.0,2.00839247,4.1726590419068935E-7,4070.0,85.3,70.57881674805859,4070.0,807408.0,100.0,0.0
4144.0,2.038370122,4.23527547017932E-7,4144.0,85.8,71.5840870887697,4144.0,807408.0,100.0,0.0
4218.0,2.06762933,4.2963912339836364E-7,4218.0,86.2,72.40033119602565,4218.0,807408.0,100.0,0.0
4292.0,2.096245132,4.35616307046339E-7,4292.0,87.0,74.00031199625604,4292.0,807408.0,100.0,0.0
4366.0,2.124715435,4.4156309929575776E-7,4366.0,86.8,73.6,4366.0,807408.0,100.0,0.0
4440.0,2.15378793,4.476356756198407E-7,4440.0,86.7,73.39936158467803,4440.0,807408.0,100.0,0.0
4514.0,2.182222665,4.5357503853116194E-7,4514.0,86.9,73.788676708338,4514.0,807408.0,100.0,0.0
4588.0,2.211051754,4.595967729336024E-7,4588.0,86.6,73.20032159614084,4588.0,807408.0,100.0,0.0
4662.0,2.241192788,4.65892542507276E-7,4662.0,86.8,73.59915517296554,4662.0,807408.0,100.0,0.0
4736.0,2.269483457,4.718018133408205E-7,4736.0,86.3,72.59978079824639,4736.0,807408.0,100.0,0.0
4810.0,2.298939883,4.779545840307699E-7,4810.0,86.7,73.39553044911545,4810.0,807408.0,100.0,0.0
4884.0,2.328180019,4.84062176708542E-7,4884.0,86.4,72.79314387225581,4884.0,807408.0,100.0,0.0
4958.0,2.359281311,4.905585221184419E-7,4958.0,86.3,72.59693085625591,4958.0,807408.0,100.0,0.0
5032.0,2.392095463,4.974126446328686E-7,5032.0,86.6,73.17897231429441,5032.0,807408.0,100.0,0.0
