learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
74.0,0.583694693,2.4706744008684944E-7,74.0,83.78378378378379,67.56756756756756,74.0,1636184.0,100.0,0.0
148.0,1.029338261,4.3570032789165563E-7,148.0,91.21621621621621,82.37449615243679,148.0,1636184.0,100.0,0.0
222.0,1.277348252,5.406784856977479E-7,222.0,93.69369369369369,87.35454471478558,222.0,1636184.0,100.0,0.0
296.0,1.462172921,6.189114358724881E-7,296.0,94.93243243243244,89.86671535512141,296.0,1636184.0,100.0,0.0
370.0,1.63523096,6.921637837093737E-7,370.0,95.4054054054054,90.80812509133422,370.0,1636184.0,100.0,0.0
444.0,1.834755715,7.766190152593475E-7,444.0,95.94594594594594,91.89057553372838,444.0,1636184.0,100.0,0.0
518.0,2.000827402,8.469141662519136E-7,518.0,96.13899613899613,92.27810739095435,518.0,1636184.0,100.0,0.0
592.0,2.174631892,9.204824733392978E-7,592.0,96.11486486486487,92.22884277332604,592.0,1636184.0,100.0,0.0
666.0,2.353406755,9.96154649706485E-7,666.0,96.24624624624624,92.48761471615367,666.0,1636184.0,100.0,0.0
740.0,2.513481707,1.0639114908889785E-6,740.0,96.48648648648648,92.9643389989176,740.0,1636184.0,100.0,0.0
814.0,2.650209705,1.1217859873666428E-6,814.0,96.80589680589681,93.61167791555486,814.0,1636184.0,100.0,0.0
888.0,2.77995516,1.176704899281015E-6,888.0,97.07207207207207,94.14414414414414,888.0,1636184.0,100.0,0.0
962.0,2.915906218,1.2342505310641685E-6,962.0,97.1933471933472,94.38669438669439,962.0,1636184.0,100.0,0.0
1036.0,3.060542133,1.295472306235712E-6,1036.0,98.5,96.999975999808,1036.0,1636184.0,100.0,0.0
1110.0,3.192030667,1.3511290320647279E-6,1110.0,98.5,96.99978398444688,1110.0,1636184.0,100.0,0.0
1184.0,3.317281576,1.4041454836896887E-6,1184.0,98.6,97.20004479928322,1184.0,1636184.0,100.0,0.0
1258.0,3.452533572,1.461395215131665E-6,1258.0,98.7,97.39993759850236,1258.0,1636184.0,100.0,0.0
