learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
10000.0,0.445769522,3.186915973815653E-8,10000.0,73.4,46.76060284610612,10000.0,276352.0,100.0,9986.45,12.782930340137503,6672.0,0.0
20000.0,0.807195734,5.770840875658724E-8,20000.0,79.2,58.06181043938319,20000.0,276352.0,100.0,19968.58000000001,18.742369113855105,6672.0,0.0
30000.0,1.146112628,8.193841125739945E-8,30000.0,77.2,54.423517464988066,30000.0,276352.0,100.0,29945.319999999992,23.20765669542988,6672.0,0.0
40000.0,1.487697163,1.0635912997580237E-7,40000.0,76.8,53.794617072889,40000.0,276352.0,100.0,39944.32000000001,27.8524644104857,6672.0,0.0
50000.0,1.818066483,1.2997804538398982E-7,50000.0,75.9,52.03140052387284,50000.0,276352.0,100.0,50007.83,34.54449350204928,6672.0,0.0
60000.0,2.156457372,1.5417044249335926E-7,60000.0,76.3,52.546472420890765,60000.0,276352.0,100.0,59943.52,37.01281645346895,6672.0,0.0
70000.0,2.467125296,1.7638085663530563E-7,70000.0,76.7,53.522700071810426,70000.0,276352.0,100.0,69965.05,37.958327429065406,6672.0,0.0
80000.0,2.769687614,1.9801178106420572E-7,80000.0,78.0,55.91394401872456,80000.0,276352.0,100.0,79925.35999999996,37.48237436287629,6672.0,0.0
90000.0,3.066742825,2.192489888659782E-7,90000.0,76.0,51.862326253083815,90000.0,276352.0,100.0,89947.66999999998,38.095056693020595,6672.0,0.0
100000.0,3.366564952,2.4068401029931174E-7,100000.0,78.10000000000001,56.388402102915414,100000.0,276352.0,100.0,99907.40999999995,40.8970970173245,6672.0,0.0
110000.0,3.665963911,2.6208877841131555E-7,110000.0,77.10000000000001,53.859297049412866,110000.0,276352.0,100.0,109989.78,40.75962693498066,6672.0,0.0
120000.0,3.958917655,2.8303276224748955E-7,120000.0,78.7,57.26564318216473,120000.0,276352.0,100.0,119889.18999999997,43.70947865443419,6672.0,0.0
130000.0,4.252878954,3.0404877866923807E-7,130000.0,76.8,53.625413273526114,130000.0,276352.0,100.0,129942.83,45.37508116696986,6672.0,0.0
140000.0,4.546343359,3.2502927091654803E-7,140000.0,77.60000000000001,55.442393380012746,140000.0,276352.0,100.0,139911.93,49.98619456884814,6672.0,0.0
150000.0,4.841388124,3.461227469880051E-7,150000.0,78.7,57.716617964680474,150000.0,276352.0,100.0,149898.94999999995,53.19570760955037,6672.0,0.0
160000.0,5.138991411,3.673991380913059E-7,160000.0,68.0,35.85220347681057,160000.0,276352.0,100.0,160083.15,59.00031736774703,6672.0,0.0
170000.0,5.442338165,3.8908614377958904E-7,170000.0,70.0,40.046044637718225,170000.0,276352.0,100.0,170047.29999999993,73.53350435431585,6672.0,0.0
180000.0,5.738755453,4.1027774489677614E-7,180000.0,77.0,54.15404241747728,180000.0,276352.0,100.0,180162.54,83.01787737371052,6672.0,0.0
190000.0,6.032376323,4.3126942321184606E-7,190000.0,77.8,55.74744949827177,190000.0,276352.0,100.0,190135.50000000003,92.09342039911493,6672.0,0.0
200000.0,6.327364686,4.52358866965572E-7,200000.0,77.5,54.97586706474671,200000.0,276352.0,100.0,200111.43999999997,102.51102559079581,6672.0,0.0
210000.0,6.614171534,4.7286339408510256E-7,210000.0,80.10000000000001,60.181205529009695,210000.0,276352.0,100.0,210048.07,112.8638423951708,6672.0,0.0
220000.0,6.901635013,4.93414865370161E-7,220000.0,78.0,55.932841650675634,220000.0,276352.0,100.0,219976.6,122.83487396755967,6672.0,0.0
230000.0,7.189316148,5.139818974181016E-7,230000.0,79.10000000000001,58.17758318458694,230000.0,276352.0,100.0,229986.10000000003,132.6412100595456,6672.0,0.0
240000.0,7.477969981,5.346184700389372E-7,240000.0,76.8,53.40822826754924,240000.0,276352.0,100.0,239995.25999999995,141.85841470361282,6672.0,0.0
250000.0,7.765499119,5.551746354474293E-7,250000.0,76.7,53.57936931695928,250000.0,276352.0,100.0,249987.76,151.04981459402353,6672.0,0.0
260000.0,8.058223802,5.761022431492143E-7,260000.0,78.2,56.30299264366895,260000.0,276352.0,100.0,259989.75999999995,161.22609391030957,6672.0,0.0
270000.0,8.354098379,5.972550445219212E-7,270000.0,78.0,56.00000000000001,270000.0,276352.0,100.0,270046.5000000001,171.07080375969994,6672.0,0.0
280000.0,8.651324045,6.185044385709697E-7,280000.0,76.8,53.41346752396596,280000.0,276352.0,100.0,280073.74000000017,178.09829235962417,6672.0,0.0
290000.0,8.951931668,6.399956170456939E-7,290000.0,75.3,51.12008232407188,290000.0,276352.0,100.0,290150.9199999999,186.5730640209939,6672.0,0.0
300000.0,9.244540107,6.609149141779542E-7,300000.0,77.60000000000001,55.17794755019471,300000.0,276352.0,100.0,300116.0800000001,189.1282455602189,6672.0,0.0
310000.0,9.534995294,6.816802700276507E-7,310000.0,78.8,57.83477596741346,310000.0,276352.0,100.0,309853.91000000015,195.55213678456636,6672.0,0.0
320000.0,9.825694008,7.024630362216631E-7,320000.0,77.3,54.80428463345678,320000.0,276352.0,100.0,319918.94000000006,196.36949855727735,6672.0,0.0
330000.0,10.119825475,7.234912183723516E-7,330000.0,78.4,56.820208142589266,330000.0,276352.0,100.0,329991.96,195.47762119454748,6672.0,0.0
340000.0,10.407602159,7.440650814533565E-7,340000.0,78.7,57.53351463000328,340000.0,276352.0,100.0,340172.8700000001,195.30156772167695,6672.0,0.0
350000.0,10.695466425,7.646452059869965E-7,350000.0,78.0,55.835531519378165,350000.0,276352.0,100.0,350183.69999999995,195.08697076333976,6672.0,0.0
360000.0,10.982013666,7.851311731634538E-7,360000.0,74.2,48.54510281007558,360000.0,276352.0,100.0,360363.38999999996,197.26139295489304,6672.0,0.0
370000.0,11.259335377,8.049575845050481E-7,370000.0,76.9,53.50765614181976,370000.0,276352.0,100.0,370132.75,198.83103398553678,6672.0,0.0
380000.0,11.547292549,8.255443511171805E-7,380000.0,78.7,57.1824870341334,380000.0,276352.0,100.0,379922.51999999996,201.8710712060997,6672.0,0.0
390000.0,11.843731445,8.46737497043444E-7,390000.0,76.2,52.14733794434615,390000.0,276352.0,100.0,389848.14999999997,204.48273957189699,6672.0,0.0
400000.0,12.139798827,8.679040825199088E-7,400000.0,78.0,56.00000000000001,400000.0,276352.0,100.0,399647.3999999999,204.1071846562076,6672.0,0.0
410000.0,12.425078852,8.882994533071253E-7,410000.0,79.4,58.61991386514111,410000.0,276352.0,100.0,409671.48999999993,202.09164812385063,6672.0,0.0
420000.0,12.714053048,9.089589294669363E-7,420000.0,76.3,52.766639296561735,420000.0,276352.0,100.0,419656.88,200.51916217658632,6672.0,0.0
430000.0,13.012376792,9.302868278135193E-7,430000.0,77.9,55.69721754470371,430000.0,276352.0,100.0,429801.8000000001,201.59163492746129,6672.0,0.0
440000.0,13.305993151,9.51278183626102E-7,440000.0,77.10000000000001,54.17433762907229,440000.0,276352.0,100.0,439796.17000000004,204.604971974205,6672.0,0.0
450000.0,13.606173076,9.727387849186527E-7,450000.0,71.3,42.58759892136701,450000.0,276352.0,100.0,450252.60000000003,204.86177009995203,6672.0,0.0
460000.0,13.905766604,9.941574632471137E-7,460000.0,75.6,51.2,460000.0,276352.0,100.0,460115.70999999996,206.26131963794813,6672.0,0.0
470000.0,14.203192147,1.0154211469945974E-6,470000.0,78.0,55.98292137349292,470000.0,276352.0,100.0,469872.70999999985,208.275942298682,6672.0,0.0
480000.0,14.495825698,1.036342239445514E-6,480000.0,71.8,43.41144694120809,480000.0,276352.0,100.0,480420.9400000001,201.83047232664322,6672.0,0.0
490000.0,14.788147232,1.057241025033527E-6,490000.0,73.2,46.4,490000.0,276352.0,100.0,490619.16,203.9719894218013,6672.0,0.0
500000.0,15.081733395,1.0782302220597862E-6,500000.0,80.10000000000001,60.26770383266914,500000.0,276352.0,100.0,500410.0399999999,212.72412300698434,6672.0,0.0
510000.0,15.369186669,1.09878096376429E-6,510000.0,80.80000000000001,61.70294249058532,510000.0,276352.0,100.0,509986.0199999999,216.18133380768617,6672.0,0.0
520000.0,15.659304775,1.119522220864064E-6,520000.0,73.0,45.8590168799554,520000.0,276352.0,100.0,520105.51000000007,213.6576088918245,6672.0,0.0
530000.0,15.951026036,1.1403780914586118E-6,530000.0,73.5,47.023309743712765,530000.0,276352.0,100.0,530346.8200000002,215.8007270936345,6672.0,0.0
540000.0,16.243357968,1.161277620425224E-6,540000.0,72.5,44.99999999999999,540000.0,276352.0,100.0,540500.1799999998,222.5820613080943,6672.0,0.0
550000.0,16.532033529,1.1819157464342312E-6,550000.0,77.3,54.651878251280536,550000.0,276352.0,100.0,550418.4799999997,230.22513332858125,6672.0,0.0
560000.0,16.82107046,1.2025797076735228E-6,560000.0,76.8,53.368708795626304,560000.0,276352.0,100.0,560538.09,237.8268999979387,6672.0,0.0
570000.0,17.107932857,1.223088206127716E-6,570000.0,79.2,58.41979217892283,570000.0,276352.0,100.0,570379.6599999999,251.05698062231153,6672.0,0.0
580000.0,17.395117652,1.243619753608041E-6,580000.0,76.8,53.64450127877238,580000.0,276352.0,100.0,580312.4899999999,264.2086753693078,6672.0,0.0
590000.0,17.682361453,1.2641555195724628E-6,590000.0,78.4,56.936425404319124,590000.0,276352.0,100.0,590224.6000000003,275.6288933850855,6672.0,0.0
600000.0,17.962099445,1.2841546767868924E-6,600000.0,79.0,57.934883199192356,600000.0,276352.0,100.0,600116.03,291.5606482484735,6672.0,0.0
610000.0,18.244607434,1.3043518679011524E-6,610000.0,76.1,51.662486853814414,610000.0,276352.0,100.0,610052.7599999999,309.18019691704046,6672.0,0.0
620000.0,18.52411466,1.3243345270865487E-6,620000.0,77.0,54.02445898781848,620000.0,276352.0,100.0,620002.3600000001,321.79612170352914,6672.0,0.0
630000.0,18.804294357,1.3443652628780398E-6,630000.0,79.4,58.78136917886886,630000.0,276352.0,100.0,629986.6,336.9917389509893,6672.0,0.0
