learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10000.0,0.668880587,4.801372330947882E-8,10000.0,73.0,46.005399460053994,10000.0,277472.0,100.0,0.0
20000.0,1.211752688,8.698227966533767E-8,20000.0,72.89999999999999,45.73401255927207,20000.0,277472.0,100.0,0.0
30000.0,1.743275674,1.2513617152351472E-7,30000.0,67.2,34.39816314856817,30000.0,277472.0,100.0,0.0
40000.0,2.261211042,1.6231471420312922E-7,40000.0,71.0,41.931014044685085,40000.0,277472.0,100.0,0.0
50000.0,2.731110066,1.9604510219797493E-7,50000.0,66.5,32.961385758196734,50000.0,277472.0,100.0,0.0
60000.0,3.179905764,2.2826064692308507E-7,60000.0,70.0,40.00095998464024,60000.0,277472.0,100.0,0.0
70000.0,3.606558022,2.5888668670225475E-7,70000.0,70.6,41.184708024086255,70000.0,277472.0,100.0,0.0
80000.0,4.058934541,2.9135927065388194E-7,80000.0,71.6,43.20181754183866,80000.0,277472.0,100.0,0.0
90000.0,4.502669305,3.232115303779228E-7,90000.0,68.89999999999999,37.777599935976944,90000.0,277472.0,100.0,0.0
100000.0,4.943016275,3.548206067791002E-7,100000.0,75.0,49.990398156446034,100000.0,277472.0,100.0,0.0
110000.0,5.392186506,3.8706303630873565E-7,110000.0,71.7,43.36465954755767,110000.0,277472.0,100.0,0.0
120000.0,5.830873432,4.1855295109146173E-7,120000.0,73.2,46.29172411581749,120000.0,277472.0,100.0,0.0
130000.0,6.269418968,4.500327165882455E-7,130000.0,72.2,44.41934206896,130000.0,277472.0,100.0,0.0
140000.0,6.71004142,4.816615676947766E-7,140000.0,71.2,42.39539163133049,140000.0,277472.0,100.0,0.0
150000.0,7.154543716,5.135689225580625E-7,150000.0,73.5,46.93547353581955,150000.0,277472.0,100.0,0.0
160000.0,7.603641678,5.458061644595364E-7,160000.0,67.30000000000001,34.57068766807531,160000.0,277472.0,100.0,0.0
170000.0,8.055173904,5.782181431980927E-7,170000.0,67.30000000000001,34.60313904932564,170000.0,277472.0,100.0,0.0
180000.0,8.504112607,6.10443953137406E-7,180000.0,70.3,40.604276492092566,180000.0,277472.0,100.0,0.0
190000.0,8.939410457,6.41690592572482E-7,190000.0,68.10000000000001,36.16067497578509,190000.0,277472.0,100.0,0.0
200000.0,9.376217949,6.73045597438837E-7,200000.0,67.0,34.00079199049612,200000.0,277472.0,100.0,0.0
210000.0,9.828702685,7.055259494453254E-7,210000.0,67.4,34.80234711550384,210000.0,277472.0,100.0,0.0
