learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
46.0,0.060734112,3.042161918123563E-8,46.0,60.86956521739131,-4.54545454545453,46.0,1936208.0,100.0,46.399999999999984,0.7296048466966435,23176.0,0.0
92.0,0.285461632,1.4298727310869428E-7,92.0,59.78260869565217,-2.9020556227327683,92.0,1936208.0,100.0,92.88000000000001,0.9321724382030689,23176.0,0.0
138.0,0.410516883,2.056272475358471E-7,138.0,57.971014492753625,-2.196118488253311,138.0,1936208.0,100.0,137.97,1.0783877790573304,23176.0,0.0
184.0,0.534311834,2.676359397166388E-7,184.0,58.152173913043484,-1.664753157290439,184.0,1936208.0,100.0,183.75999999999993,1.3607870568687133,23176.0,0.0
230.0,0.658389381,3.2978618378007167E-7,230.0,60.0,-1.2440191387560156,230.0,1936208.0,100.0,229.28999999999996,1.5445763696289552,23176.0,0.0
276.0,0.782240392,3.918229563248489E-7,276.0,57.971014492753625,-1.1372251705837866,276.0,1936208.0,100.0,274.38000000000005,1.7253182988432116,23176.0,0.0
322.0,0.916314168,4.589802954436342E-7,322.0,56.83229813664597,-1.0201778540152497,322.0,1936208.0,100.0,320.23,1.8483875036464528,23176.0,0.0
368.0,1.06241614,5.321625386253828E-7,368.0,57.88043478260869,-0.8629226198896689,368.0,1936208.0,100.0,365.7100000000001,1.884990957296854,23176.0,0.0
414.0,1.164303,5.831975032016635E-7,414.0,57.48792270531401,-0.7800829875518845,414.0,1936208.0,100.0,412.2399999999999,1.9294694932163416,23176.0,0.0
460.0,1.262851817,6.32560447399074E-7,460.0,58.26086956521739,-0.6839945280437821,460.0,1936208.0,100.0,458.58000000000015,1.9982406403047794,23176.0,0.0
506.0,1.361163301,6.818045118778655E-7,506.0,59.28853754940712,-0.5983631871525577,506.0,1936208.0,100.0,504.5399999999999,2.077703666371248,23176.0,0.0
552.0,1.459155095,7.308884441489769E-7,552.0,58.69565217391305,-0.5625159805675839,552.0,1936208.0,100.0,550.1199999999999,2.178233924605673,23176.0,0.0
