learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
46.0,0.708410206,3.065809395711745E-7,46.0,0.0,0.0,46.0,1672872.0,50.0,26.159999999999997,1.1857521508583935,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92.0,1.098926542,4.755859372331823E-7,92.0,0.0,0.0,92.0,1672872.0,50.0,49.36000000000001,1.5366966957385826,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
138.0,1.277831957,5.530114031010059E-7,138.0,0.0,0.0,138.0,1672872.0,50.0,73.62000000000003,1.8833079885116604,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
184.0,1.398877546,6.053966879151637E-7,184.0,0.0,0.0,184.0,1672872.0,50.0,96.54000000000002,2.4329724827956474,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
230.0,1.524730654,6.598625380282725E-7,230.0,0.0,0.0,230.0,1672872.0,50.0,119.44000000000001,2.8389650313062313,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
276.0,1.658186617,7.176186998980182E-7,276.0,0.0,0.0,276.0,1672872.0,50.0,142.23999999999995,3.398025837429246,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
322.0,1.81024873,7.834271045227224E-7,322.0,0.0,0.0,322.0,1672872.0,50.0,165.33999999999995,3.643345625512185,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
368.0,1.895479601,8.203127398373123E-7,368.0,0.0,0.0,368.0,1672872.0,50.0,188.76,3.951910930170365,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
414.0,1.97478405,8.546335786404087E-7,414.0,0.0,0.0,414.0,1672872.0,50.0,212.17999999999998,4.297573116757591,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
460.0,2.049272642,8.86870243681756E-7,460.0,0.0,0.0,460.0,1672872.0,50.0,234.64,4.696830020864921,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
506.0,2.123713395,9.19086205286812E-7,506.0,0.0,0.0,506.0,1672872.0,50.0,257.4600000000001,5.208800245737975,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
552.0,2.204204239,9.539204840301038E-7,552.0,0.0,0.0,552.0,1672872.0,50.0,280.31999999999994,5.599157371007363,27440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
