learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
46.0,0.059958156,3.007662365620335E-8,46.0,47.82608695652174,-11.740890688259102,46.0,1939024.0,100.0,34.0
92.0,0.290022408,1.4548304016023875E-7,92.0,51.08695652173913,-3.1904287138584078,92.0,1939024.0,100.0,42.0
138.0,0.379760659,1.904981604199898E-7,138.0,48.55072463768116,-6.384364820846901,138.0,1939024.0,100.0,43.0
184.0,0.465989913,2.337530734081939E-7,184.0,50.0,-3.1063466926544034,184.0,1939024.0,100.0,32.0
230.0,0.552844067,2.77321453043417E-7,230.0,50.0,-4.752475247524751,230.0,1939024.0,100.0,43.0
276.0,0.638634166,3.20356074072313E-7,276.0,49.63768115942029,-3.7313432835821065,276.0,1939024.0,100.0,43.0
322.0,0.725508356,3.63934504304015E-7,322.0,50.0,-2.1758839528558553,322.0,1939024.0,100.0,43.0
368.0,0.814629382,4.086400079031703E-7,368.0,50.54347826086957,-1.6111903389264608,368.0,1939024.0,100.0,32.0
414.0,0.912508958,4.5773903574820195E-7,414.0,50.48309178743962,-1.5361424161941024,414.0,1939024.0,100.0,43.0
460.0,0.997179404,5.00212008718633E-7,460.0,50.43478260869565,-2.063059556247573,460.0,1939024.0,100.0,32.0
506.0,1.10092905,5.5225562155433E-7,506.0,50.59288537549407,-2.5021877937315726,506.0,1939024.0,100.0,32.0
552.0,1.193481971,5.986826559881327E-7,552.0,50.0,-3.253090435914119,552.0,1939024.0,100.0,32.0
598.0,1.260266138,6.321833903511448E-7,598.0,49.83277591973244,-3.847088924134908,598.0,1939024.0,100.0,32.0
644.0,1.328449557,6.663860271509861E-7,644.0,49.22360248447205,-4.778489830036234,644.0,1939024.0,100.0,43.0
690.0,1.394691426,6.99614730251804E-7,690.0,50.289855072463766,-2.683026300946703,690.0,1939024.0,100.0,43.0
736.0,1.461530363,7.331429387198843E-7,736.0,50.54347826086957,-2.3034154090548022,736.0,1939024.0,100.0,32.0
782.0,1.528133995,7.665531118713112E-7,782.0,49.87212276214834,-3.3819422897921143,782.0,1939024.0,100.0,32.0
828.0,1.599106303,8.021547304022104E-7,828.0,50.48309178743962,-2.4870034597061856,828.0,1939024.0,100.0,32.0
874.0,1.67037557,8.379053115543805E-7,874.0,50.0,-3.603378777932689,874.0,1939024.0,100.0,43.0
920.0,1.740809942,8.73237086919604E-7,920.0,49.891304347826086,-3.4651001668634605,920.0,1939024.0,100.0,43.0
966.0,1.839549648,9.227986406498815E-7,966.0,49.58592132505176,-4.2493784153913685,966.0,1940240.0,100.0,42.0
1012.0,1.938025439,9.72452318774263E-7,1012.0,49.4,-4.510905485789815,1012.0,1949056.0,100.0,35.0
1058.0,2.021821619,1.0148129489309836E-6,1058.0,50.2,-3.329792178474195,1058.0,1954072.0,100.0,36.0
1104.0,2.092528752,1.0505595867351565E-6,1104.0,51.0,-2.427746631381356,1104.0,1954224.0,100.0,35.0
1150.0,2.162835205,1.0861036571005482E-6,1150.0,51.7,-1.3556049859403243,1150.0,1954224.0,100.0,29.0
1196.0,2.234191658,1.1221785645696644E-6,1196.0,52.300000000000004,-0.09652914760566081,1196.0,1954224.0,100.0,39.0
1242.0,2.307223562,1.1591005116161827E-6,1242.0,52.6,0.5943368132306008,1242.0,1954224.0,100.0,49.0
1288.0,2.379709917,1.1957466513759392E-6,1288.0,52.800000000000004,0.4576417740472838,1288.0,1954224.0,100.0,39.0
1334.0,2.451276266,1.231927673687649E-6,1334.0,52.300000000000004,-0.8294650331024882,1334.0,1954224.0,100.0,42.0
1380.0,2.521277692,1.2673175348632905E-6,1380.0,53.0,0.20383896721591468,1380.0,1954224.0,100.0,37.0
1426.0,2.590947894,1.3025399427162232E-6,1426.0,53.7,1.1233075641737587,1426.0,1954224.0,100.0,35.0
1472.0,2.658127173,1.3365030416635173E-6,1472.0,53.800000000000004,1.8324607329843094,1472.0,1954224.0,100.0,32.0
1518.0,2.726434329,1.3710363491441804E-6,1518.0,54.50000000000001,3.7786443574105237,1518.0,1954224.0,100.0,36.0
1564.0,2.795610094,1.4060087898494425E-6,1564.0,54.400000000000006,3.553299492385795,1564.0,1954224.0,100.0,52.0
1610.0,2.85802842,1.4375649454619858E-6,1610.0,56.10000000000001,6.617202855514058,1610.0,1954224.0,100.0,35.0
1656.0,2.920819969,1.4693097873758273E-6,1656.0,57.099999999999994,8.07799442896935,1656.0,1954224.0,100.0,49.0
1702.0,2.987400466,1.5029701666063191E-6,1702.0,56.599999999999994,7.117695149146703,1702.0,1954224.0,100.0,35.0
1748.0,3.050803102,1.5350239491422595E-6,1748.0,56.599999999999994,6.6068146898442235,1748.0,1954224.0,100.0,35.0
