learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.244327889,6.637274056311076E-8,1.0,100.0,?,1.0,1050072.0,100.0,0.0
2.0,0.438496722,1.2840717886324971E-7,2.0,100.0,?,2.0,1234968.0,100.0,0.0
3.0,0.544494183,1.662154489761032E-7,3.0,100.0,?,3.0,1378776.0,100.0,0.0
4.0,0.638365884,2.0219309960253536E-7,4.0,100.0,?,4.0,1481496.0,100.0,0.0
5.0,0.73836915,2.441600723718479E-7,5.0,80.0,0.0,5.0,1622168.0,100.0,99.0
6.0,0.839943102,2.887696001131212E-7,6.0,83.33333333333334,57.14285714285715,6.0,1697648.0,100.0,99.0
7.0,0.921293663,3.245529233296754E-7,7.0,71.42857142857143,30.000000000000004,7.0,1700288.0,100.0,13.0
8.0,0.997266151,3.5798791222582675E-7,8.0,75.0,33.33333333333333,8.0,1701168.0,100.0,13.0
9.0,1.068093133,3.8917452223574534E-7,9.0,77.77777777777779,35.714285714285715,9.0,1702048.0,100.0,13.0
10.0,1.137936631,4.19943983888357E-7,10.0,80.0,37.499999999999986,10.0,1702928.0,100.0,13.0
11.0,1.20957262,4.5186102052751096E-7,11.0,72.72727272727273,23.255813953488385,11.0,1722240.0,100.0,99.0
12.0,1.308194926,4.961535526238672E-7,12.0,66.66666666666666,11.1111111111111,12.0,1736032.0,100.0,29.0
13.0,1.370077452,5.239656334203316E-7,13.0,61.53846153846154,2.9850746268656594,13.0,1737272.0,100.0,99.0
14.0,1.424721226,5.485243765057665E-7,14.0,64.28571428571429,18.604651162790695,14.0,1737272.0,100.0,99.0
15.0,1.471188701,5.694084168422533E-7,15.0,66.66666666666666,28.571428571428566,15.0,1737272.0,100.0,88.0
16.0,1.519654023,5.912124234697823E-7,16.0,68.75,31.03448275862069,16.0,1739032.0,100.0,99.0
17.0,1.566515617,6.122949307964142E-7,17.0,70.58823529411765,37.956204379562045,17.0,1739032.0,100.0,99.0
18.0,1.615654817,6.344021076036059E-7,18.0,66.66666666666666,30.769230769230766,18.0,1739032.0,100.0,78.0
19.0,1.666311151,6.571918260390332E-7,19.0,68.42105263157895,32.94117647058823,19.0,1739032.0,100.0,78.0
20.0,1.716954245,6.799755879464559E-7,20.0,65.0,25.53191489361702,20.0,1739032.0,100.0,80.0
21.0,1.77206689,7.047701508886077E-7,21.0,66.66666666666666,27.58620689655172,21.0,1739032.0,100.0,80.0
22.0,1.823850145,7.280668584853307E-7,22.0,63.63636363636363,22.123893805309734,22.0,1739032.0,100.0,70.0
23.0,1.875959531,7.515102887734957E-7,23.0,65.21739130434783,27.559055118110244,23.0,1739032.0,100.0,64.0
24.0,1.926764589,7.743669164741019E-7,24.0,62.5,21.739130434782602,24.0,1739032.0,100.0,83.0
25.0,1.976478154,7.96732493674602E-7,25.0,64.0,26.229508196721312,25.0,1739032.0,100.0,72.0
26.0,2.027378149,8.196318324703123E-7,26.0,61.53846153846154,21.212121212121225,26.0,1739032.0,100.0,80.0
27.0,2.084622249,8.453853131917843E-7,27.0,62.96296296296296,23.295454545454568,27.0,1739032.0,100.0,80.0
28.0,2.142283628,8.713265230710556E-7,28.0,60.71428571428571,18.94736842105263,28.0,1739032.0,100.0,69.0
29.0,2.192649936,8.939857620509631E-7,29.0,58.620689655172406,14.705882352941174,29.0,1739032.0,100.0,81.0
30.0,2.246415707,9.181743814357308E-7,30.0,60.0,16.66666666666666,30.0,1739032.0,100.0,81.0
31.0,2.292934104,9.391024882682826E-7,31.0,61.29032258064516,18.421052631578956,31.0,1739032.0,100.0,81.0
32.0,2.339665888,9.601265955269171E-7,32.0,59.375,14.754098360655737,32.0,1739032.0,100.0,73.0
33.0,2.386166252,9.8104658951434E-7,33.0,57.57575757575758,11.153846153846159,33.0,1739032.0,100.0,84.0
34.0,2.432393974,1.0018439249135263E-6,34.0,55.88235294117647,7.942238267148021,34.0,1739032.0,100.0,79.0
35.0,2.481002903,1.0237125387251313E-6,35.0,54.285714285714285,4.761904761904749,35.0,1739032.0,100.0,77.0
36.0,2.530913495,1.0461667561705843E-6,36.0,55.55555555555556,6.4935064935064775,36.0,1739032.0,100.0,86.0
37.0,2.5810288,1.0687130717064768E-6,37.0,54.054054054054056,3.6753445635528443,37.0,1739032.0,100.0,83.0
38.0,2.629432177,1.0904892099709205E-6,38.0,55.26315789473685,5.278592375366588,38.0,1739032.0,100.0,81.0
39.0,2.676111642,1.1114897794962713E-6,39.0,56.41025641025641,6.751054852320664,39.0,1739032.0,100.0,81.0
40.0,2.725709988,1.1338035209565773E-6,40.0,55.00000000000001,4.00000000000001,40.0,1739032.0,100.0,84.0
41.0,2.77196239,1.1546119596118932E-6,41.0,56.09756097560976,5.384615384615404,41.0,1739032.0,100.0,83.0
42.0,2.823205079,1.177665472607606E-6,42.0,54.761904761904766,2.919708029197084,42.0,1739032.0,100.0,85.0
43.0,2.868810847,1.198182997854329E-6,43.0,53.48837209302325,0.46296296296295764,43.0,1739032.0,100.0,80.0
44.0,2.91672433,1.2197387382841563E-6,44.0,52.27272727272727,-1.7621145374449279,44.0,1739032.0,100.0,84.0
45.0,2.963078845,1.240593116436764E-6,45.0,51.11111111111111,-3.9915966386554693,45.0,1739032.0,100.0,80.0
46.0,3.007618803,1.260631145677999E-6,46.0,52.17391304347826,-2.6369168356997985,46.0,1739032.0,100.0,80.0
47.0,3.052077771,1.2806327384235315E-6,47.0,51.06382978723404,-4.646660212971936,47.0,1739032.0,100.0,75.0
48.0,3.096501469,1.3006184635903085E-6,48.0,50.0,-6.666666666666667,48.0,1739032.0,100.0,78.0
49.0,3.141599857,1.3209077242464715E-6,49.0,51.02040816326531,-5.376344086021521,49.0,1739032.0,100.0,72.0
50.0,3.18669076,1.3411936174848012E-6,50.0,50.0,-7.204116638078893,50.0,1739032.0,100.0,74.0
51.0,3.230922942,1.3610931817439238E-6,51.0,50.98039215686274,-3.7428803905614454,51.0,1739032.0,100.0,75.0
52.0,3.275743449,1.3812574268443114E-6,52.0,50.0,-5.625000000000005,52.0,1739032.0,100.0,80.0
53.0,3.320012871,1.4011737449631693E-6,53.0,49.056603773584904,-7.351837959489868,53.0,1739032.0,100.0,71.0
54.0,3.36445854,1.4211693546372566E-6,54.0,48.148148148148145,-9.090909090909122,54.0,1739032.0,100.0,80.0
55.0,3.410060234,1.4416850470369181E-6,55.0,49.09090909090909,-7.843137254901957,55.0,1739032.0,100.0,80.0
56.0,3.460814235,1.4645187047639341E-6,56.0,50.0,-6.666666666666667,56.0,1739032.0,100.0,79.0
57.0,3.504944041,1.4843722112050049E-6,57.0,50.877192982456144,-5.55555555555555,57.0,1739032.0,100.0,79.0
58.0,3.552514923,1.5057738192744902E-6,58.0,50.0,-7.133757961783446,58.0,1739032.0,100.0,76.0
59.0,3.597094498,1.5258296717611904E-6,59.0,49.152542372881356,-8.722358722358718,59.0,1739032.0,100.0,77.0
60.0,3.64048829,1.5453520537307483E-6,60.0,50.0,-7.6555023923444985,60.0,1739032.0,100.0,74.0
61.0,3.683268912,1.5645985773712559E-6,61.0,50.81967213114754,-6.6433566433566575,61.0,1739032.0,100.0,74.0
62.0,3.723948964,1.582900078048714E-6,62.0,51.61290322580645,-5.681818181818189,62.0,1739032.0,100.0,75.0
63.0,3.764392339,1.6010951003894226E-6,63.0,52.38095238095239,-4.767184035476714,63.0,1739032.0,100.0,75.0
64.0,3.804886502,1.6193129716836285E-6,64.0,53.125,-3.896103896103896,64.0,1739032.0,100.0,75.0
65.0,3.848438323,1.6389064491338548E-6,65.0,53.84615384615385,-3.0655391120507396,65.0,1739032.0,100.0,72.0
66.0,3.890941077,1.6580279630671417E-6,66.0,54.54545454545454,-2.2727272727272876,66.0,1739032.0,100.0,72.0
67.0,3.931701964,1.6763658305075346E-6,67.0,55.223880597014926,-1.5151515151515114,67.0,1739032.0,100.0,72.0
68.0,3.972497001,1.6947190616512026E-6,68.0,54.41176470588235,-2.929687500000007,68.0,1739032.0,100.0,75.0
69.0,4.019091979,1.71568162141964E-6,69.0,53.62318840579711,-4.249291784702541,69.0,1739032.0,100.0,70.0
70.0,4.069295894,1.7382678016040596E-6,70.0,54.285714285714285,-1.3574660633484326,70.0,1739032.0,100.0,72.0
71.0,4.118304112,1.7603160510735542E-6,71.0,53.52112676056338,-2.808249232119351,71.0,1739032.0,100.0,75.0
72.0,4.168440865,1.7828720158249033E-6,72.0,52.77777777777778,-4.170212765957435,72.0,1739032.0,100.0,76.0
73.0,4.221636267,1.8068040325720956E-6,73.0,53.42465753424658,-3.416666666666652,73.0,1739032.0,100.0,76.0
74.0,4.271678108,1.829317297475561E-6,74.0,54.054054054054056,-2.693877551020414,74.0,1739032.0,100.0,76.0
75.0,4.320801511,1.85141736738903E-6,75.0,54.666666666666664,-2.000000000000013,75.0,1739032.0,100.0,76.0
76.0,4.370912854,1.8739619004654093E-6,76.0,55.26315789473685,-1.3333333333333142,76.0,1739032.0,100.0,76.0
77.0,4.423367112,1.8975604848114314E-6,77.0,54.54545454545454,-2.5885039969547003,77.0,1739032.0,100.0,74.0
78.0,4.475732039,1.9211188801390858E-6,78.0,53.84615384615385,-3.8461538461538574,78.0,1739032.0,100.0,82.0
