learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.220165278,5.980886151600629E-8,1.0,100.0,?,1.0,1050072.0,100.0,0.0
2.0,0.468194761,1.3905108294800544E-7,2.0,100.0,?,2.0,1234968.0,100.0,0.0
3.0,0.621187216,1.9362201332027714E-7,3.0,100.0,?,3.0,1378776.0,100.0,0.0
4.0,0.795143634,2.6029325890716167E-7,4.0,100.0,?,4.0,1481496.0,100.0,0.0
5.0,0.934388839,3.1872834768208576E-7,5.0,80.0,0.0,5.0,1622168.0,100.0,99.0
6.0,1.067105861,3.7701537460261134E-7,6.0,83.33333333333334,57.14285714285715,6.0,1697648.0,100.0,99.0
7.0,1.181546235,4.273537722919075E-7,7.0,71.42857142857143,30.000000000000004,7.0,1700288.0,100.0,13.0
8.0,1.290082459,4.751198457719573E-7,8.0,75.0,33.33333333333333,8.0,1701168.0,100.0,13.0
9.0,1.396549341,5.219994534320158E-7,9.0,77.77777777777779,35.714285714285715,9.0,1702048.0,100.0,13.0
10.0,1.502868292,5.688381281750878E-7,10.0,80.0,37.499999999999986,10.0,1702928.0,100.0,13.0
11.0,1.581972292,6.040824976819238E-7,11.0,72.72727272727273,23.255813953488385,11.0,1722240.0,100.0,99.0
12.0,1.692511989,6.53727281665113E-7,12.0,66.66666666666666,11.1111111111111,12.0,1736032.0,100.0,29.0
13.0,1.761900476,6.849127928510724E-7,13.0,61.53846153846154,2.9850746268656594,13.0,1737272.0,100.0,99.0
14.0,1.824461157,7.130296592287287E-7,14.0,64.28571428571429,18.604651162790695,14.0,1737272.0,100.0,99.0
15.0,1.887629667,7.414197043266336E-7,15.0,66.66666666666666,28.571428571428566,15.0,1737272.0,100.0,88.0
16.0,1.979852054,7.829095253857931E-7,16.0,68.75,31.03448275862069,16.0,1739032.0,100.0,99.0
17.0,2.046511896,8.128990431848915E-7,17.0,70.58823529411765,37.956204379562045,17.0,1739032.0,100.0,99.0
18.0,2.108550052,8.408093161133099E-7,18.0,66.66666666666666,30.769230769230766,18.0,1739032.0,100.0,78.0
19.0,2.175546433,8.709502390467108E-7,19.0,68.42105263157895,32.94117647058823,19.0,1739032.0,100.0,78.0
20.0,2.240235186,9.000529859373348E-7,20.0,65.0,25.53191489361702,20.0,1739032.0,100.0,80.0
21.0,2.302728788,9.281681589302257E-7,21.0,66.66666666666666,27.58620689655172,21.0,1739032.0,100.0,80.0
22.0,2.366589588,9.568984190209213E-7,22.0,63.63636363636363,22.123893805309734,22.0,1739032.0,100.0,70.0
23.0,2.428388223,9.847009341287802E-7,23.0,65.21739130434783,27.559055118110244,23.0,1739032.0,100.0,64.0
24.0,2.489464432,1.012178437854441E-6,24.0,62.5,21.739130434782602,24.0,1739032.0,100.0,83.0
25.0,2.548986168,1.0389566015531374E-6,25.0,64.0,26.229508196721312,25.0,1739032.0,100.0,72.0
26.0,2.609553061,1.0662049697034788E-6,26.0,61.53846153846154,21.212121212121225,26.0,1739032.0,100.0,80.0
27.0,2.670230012,1.0935028517178035E-6,27.0,62.96296296296296,23.295454545454568,27.0,1739032.0,100.0,80.0
28.0,2.73427024,1.1223138344600717E-6,28.0,60.71428571428571,18.94736842105263,28.0,1739032.0,100.0,69.0
29.0,2.792101774,1.1483315951718683E-6,29.0,58.620689655172406,14.705882352941174,29.0,1739032.0,100.0,81.0
30.0,2.848374952,1.1736482689384043E-6,30.0,60.0,16.66666666666666,30.0,1739032.0,100.0,81.0
31.0,2.903151654,1.1982916948799916E-6,31.0,61.29032258064516,18.421052631578956,31.0,1739032.0,100.0,81.0
32.0,2.95961684,1.2236947508994823E-6,32.0,59.375,14.754098360655737,32.0,1739032.0,100.0,73.0
33.0,3.015059585,1.248637822141811E-6,33.0,57.57575757575758,11.153846153846159,33.0,1739032.0,100.0,84.0
34.0,3.069246743,1.2730160188276592E-6,34.0,55.88235294117647,7.942238267148021,34.0,1739032.0,100.0,79.0
