learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1.0,0.157418277,2.7085516384386764E-8,1.0,0.0,0.0,1.0,665096.0,50.0,0.48000000000000004,0.10396231656377286,7338.4,1431.953942937369,0.34,0.0676726816132972,0.34,0.0676726816132972,0.34,0.0676726816132972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.473921941,1.1272974281666386E-7,2.0,0.0,0.0,2.0,1045976.0,50.0,1.3599999999999999,0.17556904566556814,14956.0,1385.2471672180795,0.7000000000000002,0.06546536707079771,0.7000000000000002,0.06546536707079771,0.7000000000000002,0.06546536707079771,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,0.61109077,1.536012906596582E-7,3.0,0.0,0.0,3.0,1151776.0,50.0,2.140000000000001,0.22858928501679557,17071.999999999996,1209.142857142857,0.8000000000000002,0.057142857142857134,0.8000000000000002,0.057142857142857134,0.8000000000000002,0.057142857142857134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.722151149,1.9034116549802942E-7,4.0,0.0,0.0,4.0,1278736.0,50.0,2.960000000000001,0.2709921303172429,19611.2,820.0805853881753,0.9199999999999999,0.038756171332144394,0.9199999999999999,0.038756171332144394,0.9199999999999999,0.038756171332144394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,0.838052576,2.2931696385520198E-7,5.0,0.0,0.0,5.0,1299896.0,50.0,3.36,0.28679794494467664,20034.400000000005,717.8887958906352,0.9399999999999998,0.033926691677251195,0.9399999999999998,0.033926691677251195,0.9399999999999998,0.033926691677251195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.934943305,2.629605486352514E-7,6.0,0.0,0.0,6.0,1342216.0,50.0,4.14,0.31429870103038565,20880.800000000007,423.2,0.9799999999999999,0.02,0.9799999999999999,0.02,0.9799999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,1.01964077,2.9237023905447373E-7,7.0,0.0,0.0,7.0,1342216.0,50.0,4.56,0.3501136841609232,20880.800000000007,423.2,0.9799999999999999,0.02,0.9799999999999999,0.02,0.9799999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,1.101435153,3.2077188581050475E-7,8.0,0.0,0.0,8.0,1342216.0,50.0,5.72,0.4020762441657663,20880.800000000007,423.2,0.9799999999999999,0.02,0.9799999999999999,0.02,0.9799999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,1.17967322,3.4793866499885916E-7,9.0,0.0,0.0,9.0,1342216.0,50.0,6.16,0.41831537755865583,20880.800000000007,423.2,0.9799999999999999,0.02,0.9799999999999999,0.02,0.9799999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,1.256904131,3.7475572715419654E-7,10.0,0.0,0.0,10.0,1342216.0,50.0,6.680000000000001,0.43840154923009444,20880.800000000007,423.2,0.9799999999999999,0.02,0.9799999999999999,0.02,0.9799999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
