learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.508999136,2.535305090649923E-7,1.0,0.0,0.0,1.0,1925376.0,100.0,99.0
2.0,0.89776672,5.020861867994732E-7,2.0,0.0,-100.0,2.0,2471360.0,100.0,0.0
3.0,1.108638962,6.467392636340028E-7,3.0,0.0,-80.0,3.0,2651616.0,100.0,99.0
4.0,1.251693939,7.498275633811122E-7,4.0,0.0,-100.0,4.0,2785536.0,100.0,12.0
5.0,1.475009559,9.134209758981234E-7,5.0,20.0,-66.66666666666667,5.0,2831712.0,100.0,12.0
6.0,1.702463698,1.080460377932911E-6,6.0,33.33333333333333,-50.000000000000014,6.0,2838752.0,100.0,12.0
7.0,1.858281257,1.195687967340731E-6,7.0,28.57142857142857,-52.17391304347827,7.0,2858528.0,100.0,94.0
8.0,2.02401372,1.3183231205481787E-6,8.0,37.5,-42.857142857142854,8.0,2860288.0,100.0,20.0
9.0,2.143213992,1.4068312993095814E-6,9.0,33.33333333333333,-42.105263157894754,9.0,2870176.0,100.0,85.0
10.0,2.270253954,1.5011605779083568E-6,10.0,30.0,-52.17391304347827,10.0,2870176.0,100.0,92.0
11.0,2.404669903,1.60113856937158E-6,11.0,36.36363636363637,-30.508474576271173,11.0,2875120.0,100.0,92.0
12.0,2.542949298,1.7039901749712226E-6,12.0,41.66666666666667,-23.52941176470588,12.0,2875120.0,100.0,45.0
13.0,2.663155568,1.7934538012224682E-6,13.0,46.15384615384615,-18.181818181818176,13.0,2876880.0,100.0,44.0
14.0,2.793730615,1.8907179030365183E-6,14.0,42.857142857142854,-21.739130434782624,14.0,2879352.0,100.0,66.0
15.0,2.925112567,1.9886670804876522E-6,15.0,46.666666666666664,-9.09090909090908,15.0,2881824.0,100.0,63.0
16.0,3.060454642,2.089655200523386E-6,16.0,50.0,0.0,16.0,2884296.0,100.0,56.0
17.0,3.197961223,2.1922584087846113E-6,17.0,52.94117647058824,6.849315068493146,17.0,2884296.0,100.0,55.0
18.0,3.326594653,2.28824074295119E-6,18.0,50.0,0.0,18.0,2884296.0,100.0,66.0
19.0,3.452876417,2.3824683358202685E-6,19.0,47.368421052631575,-4.395604395604386,19.0,2884296.0,100.0,46.0
20.0,3.579394112,2.476871973191015E-6,20.0,50.0,0.0,20.0,2884296.0,100.0,45.0
