learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.378292612,1.5115143577660122E-7,1.0,0.0,0.0,1.0,1544496.0,100.0,99.0
2.0,0.650572274,3.051850629080418E-7,2.0,0.0,-100.0,2.0,2186768.0,100.0,0.0
3.0,0.881724622,4.563279765956518E-7,3.0,0.0,-80.0,3.0,2527504.0,100.0,99.0
4.0,1.042220991,5.686027990345947E-7,4.0,0.0,-100.0,4.0,2704080.0,100.0,11.0
5.0,1.179471381,6.664429931745968E-7,5.0,20.0,-66.66666666666667,5.0,2755536.0,100.0,11.0
6.0,1.322843701,7.710531006328968E-7,6.0,33.33333333333333,-50.000000000000014,6.0,2820400.0,100.0,11.0
7.0,1.44985463,8.65187332467772E-7,7.0,28.57142857142857,-52.17391304347827,7.0,2864896.0,100.0,96.0
8.0,1.552784774,9.41520940448977E-7,8.0,25.0,-60.0,8.0,2866656.0,100.0,16.0
9.0,1.662393835,1.0229478648455936E-6,9.0,22.22222222222222,-61.53846153846153,9.0,2871600.0,100.0,90.0
10.0,1.766033094,1.1000342896980253E-6,10.0,20.0,-66.66666666666667,10.0,2875120.0,100.0,40.0
11.0,1.876538395,1.1823689844660335E-6,11.0,27.27272727272727,-46.666666666666636,11.0,2880064.0,100.0,88.0
12.0,1.970756108,1.2525682108506104E-6,12.0,33.33333333333333,-37.14285714285717,12.0,2880064.0,100.0,89.0
13.0,2.068599328,1.3254687104729686E-6,13.0,38.46153846153847,-30.000000000000004,13.0,2880064.0,100.0,54.0
14.0,2.169493148,1.4006421347205383E-6,14.0,35.714285714285715,-34.04255319148937,14.0,2880064.0,100.0,63.0
15.0,2.271092906,1.4764065093278555E-6,15.0,40.0,-21.621621621621628,15.0,2882536.0,100.0,52.0
16.0,2.36755517,1.54833978209378E-6,16.0,43.75,-12.5,16.0,2882536.0,100.0,52.0
17.0,2.46868101,1.6237507493545447E-6,17.0,47.05882352941176,-5.517241379310341,17.0,2882536.0,100.0,51.0
18.0,2.575804053,1.7036826901429292E-6,18.0,44.44444444444444,-11.111111111111116,18.0,2884296.0,100.0,66.0
19.0,2.685199222,1.7853100219117189E-6,19.0,42.10526315789473,-15.469613259668503,19.0,2884296.0,100.0,52.0
20.0,2.801542382,1.8721217322199627E-6,20.0,40.0,-19.999999999999996,20.0,2884296.0,100.0,58.0
21.0,2.909038149,1.9523317882659434E-6,21.0,42.857142857142854,-14.545454545454541,21.0,2884296.0,100.0,55.0
22.0,3.016986554,2.0328795889539854E-6,22.0,45.45454545454545,-9.999999999999975,22.0,2884296.0,100.0,54.0
23.0,3.118883367,2.1089118766405955E-6,23.0,47.82608695652174,-6.153846153846144,23.0,2884296.0,100.0,53.0
24.0,3.220661474,2.1848555895379025E-6,24.0,50.0,-2.85714285714287,24.0,2884296.0,100.0,53.0
25.0,3.323384014,2.2615040094760146E-6,25.0,48.0,-6.557377049180333,25.0,2884296.0,100.0,57.0
26.0,3.423791434,2.336424957624906E-6,26.0,46.15384615384615,-10.303030303030287,26.0,2884296.0,100.0,60.0
27.0,3.521233671,2.4091333768412247E-6,27.0,48.148148148148145,-7.38636363636362,27.0,2884296.0,100.0,51.0
28.0,3.616626363,2.48031248821681E-6,28.0,50.0,-2.0833333333333126,28.0,2884296.0,100.0,49.0
29.0,3.708758774,2.5490588775510183E-6,29.0,48.275862068965516,-5.326876513317181,29.0,2884296.0,100.0,52.0
30.0,3.83908062,2.646301056135368E-6,30.0,46.666666666666664,-8.108108108108116,30.0,2884296.0,100.0,54.0
31.0,3.943008022,2.7238485072748456E-6,31.0,45.16129032258064,-11.41649048625792,31.0,2884296.0,100.0,66.0
32.0,4.033171408,2.791125670331465E-6,32.0,46.875,-8.799999999999999,32.0,2884296.0,100.0,66.0
33.0,4.122219292,2.857570479887696E-6,33.0,45.45454545454545,-11.654135338345874,33.0,2884296.0,100.0,63.0
34.0,4.210595073,2.9235137867261625E-6,34.0,47.05882352941176,-9.28571428571429,34.0,2884296.0,100.0,62.0
35.0,4.29920912,2.989634880371935E-6,35.0,48.57142857142857,-7.142857142857148,35.0,2884296.0,100.0,57.0
36.0,4.387471873,3.0554938491711674E-6,36.0,47.22222222222222,-9.615384615384636,36.0,2884296.0,100.0,53.0
