learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.542937158,2.704349070998033E-7,1.0,0.0,0.0,1.0,1925376.0,100.0,0.0
2.0,0.98542827,5.533383248771562E-7,2.0,50.0,0.0,2.0,2471360.0,100.0,0.0
3.0,1.134407241,6.555341678880735E-7,3.0,33.33333333333333,0.0,3.0,2651616.0,100.0,0.0
4.0,1.272760558,7.55234356675653E-7,4.0,50.0,0.0,4.0,2785536.0,100.0,0.0
5.0,1.403357244,8.509050380464974E-7,5.0,60.0,0.0,5.0,2831712.0,100.0,0.0
6.0,1.55037977,9.588764952231197E-7,6.0,66.66666666666666,0.0,6.0,2838752.0,100.0,0.0
7.0,1.660615644,1.04039628098285E-6,7.0,57.14285714285714,0.0,7.0,2858528.0,100.0,0.0
8.0,1.768081599,1.11991663334743E-6,8.0,62.5,0.0,8.0,2860288.0,100.0,0.0
9.0,1.874833354,1.199181581791788E-6,9.0,55.55555555555556,0.0,9.0,2870176.0,100.0,0.0
10.0,1.983076111,1.2795536239477244E-6,10.0,50.0,-19.04761904761907,10.0,2870176.0,100.0,0.0
11.0,2.090025313,1.3591019698404766E-6,11.0,45.45454545454545,-17.857142857142858,11.0,2875120.0,100.0,0.0
12.0,2.196728535,1.438467356891491E-6,12.0,41.66666666666667,-31.250000000000007,12.0,2875120.0,100.0,0.0
13.0,2.306123521,1.5198846751500496E-6,13.0,46.15384615384615,-28.169014084507026,13.0,2876880.0,100.0,0.0
14.0,2.412617987,1.5992113828299397E-6,14.0,42.857142857142854,-27.272727272727266,14.0,2879352.0,100.0,0.0
15.0,2.525447715,1.683329322024778E-6,15.0,46.666666666666664,-11.111111111111112,15.0,2881824.0,100.0,0.0
16.0,2.640402003,1.7691046984933768E-6,16.0,50.0,0.0,16.0,2884296.0,100.0,0.0
17.0,2.756501641,1.8557347001277486E-6,17.0,52.94117647058824,8.108108108108103,17.0,2884296.0,100.0,0.0
18.0,2.873917778,1.9433470330810318E-6,18.0,50.0,0.0,18.0,2884296.0,100.0,0.0
19.0,2.989802371,2.0298165747086166E-6,19.0,52.63157894736842,6.557377049180331,19.0,2884296.0,100.0,0.0
20.0,3.101679428,2.113295815451458E-6,20.0,55.00000000000001,10.000000000000009,20.0,2884296.0,100.0,0.0
21.0,3.209382502,2.1936605576451145E-6,21.0,57.14285714285714,12.903225806451612,21.0,2884296.0,100.0,0.0
22.0,3.318781302,2.2752905987551333E-6,22.0,59.09090909090909,15.3846153846154,22.0,2884296.0,100.0,0.0
23.0,3.420002767,2.350818962404153E-6,23.0,60.86956521739131,17.52988047808765,23.0,2884296.0,100.0,0.0
24.0,3.520604448,2.425884862174233E-6,24.0,62.5,19.402985074626848,24.0,2884296.0,100.0,0.0
25.0,3.622080563,2.50160323787063E-6,25.0,60.0,15.54054054054054,25.0,2884296.0,100.0,0.0
