learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.385907072,1.5419388631661734E-7,1.0,0.0,0.0,1.0,1544496.0,100.0,0.0
2.0,0.772480364,3.7288552814369403E-7,2.0,50.0,0.0,2.0,2186768.0,100.0,0.0
3.0,1.039784406,5.476668448723273E-7,3.0,33.33333333333333,0.0,3.0,2527504.0,100.0,0.0
4.0,1.263792118,7.04370864075116E-7,4.0,50.0,0.0,4.0,2704080.0,100.0,0.0
5.0,1.510311504,8.801044600635436E-7,5.0,60.0,0.0,5.0,2755536.0,100.0,0.0
6.0,1.710866503,1.0264373086684156E-6,6.0,66.66666666666666,0.0,6.0,2820400.0,100.0,0.0
7.0,1.903156317,1.1689530281665466E-6,7.0,57.14285714285714,0.0,7.0,2864896.0,100.0,0.0
8.0,2.094288425,1.310697738100046E-6,8.0,62.5,0.0,8.0,2866656.0,100.0,0.0
9.0,2.290452674,1.4564252110563385E-6,9.0,55.55555555555556,0.0,9.0,2871600.0,100.0,0.0
10.0,2.42753172,1.558384002351074E-6,10.0,50.0,-19.04761904761907,10.0,2875120.0,100.0,0.0
11.0,2.536953192,1.6399111636425142E-6,11.0,45.45454545454545,-17.857142857142858,11.0,2880064.0,100.0,0.0
12.0,2.642466446,1.718526410906257E-6,12.0,41.66666666666667,-31.250000000000007,12.0,2880064.0,100.0,0.0
13.0,2.773902456,1.816456045656312E-6,13.0,46.15384615384615,-28.169014084507026,13.0,2880064.0,100.0,0.0
14.0,2.898908171,1.909594630825015E-6,14.0,42.857142857142854,-27.272727272727266,14.0,2880064.0,100.0,0.0
15.0,3.089981696,2.0520808572748907E-6,15.0,46.666666666666664,-11.111111111111112,15.0,2882536.0,100.0,0.0
16.0,3.276022712,2.1908142706807563E-6,16.0,50.0,0.0,16.0,2882536.0,100.0,0.0
17.0,3.429295073,2.305111635205502E-6,17.0,52.94117647058824,8.108108108108103,17.0,2882536.0,100.0,0.0
18.0,3.546035175,2.3922195315027907E-6,18.0,50.0,0.0,18.0,2884296.0,100.0,0.0
19.0,3.660035698,2.4772832376773892E-6,19.0,52.63157894736842,6.557377049180331,19.0,2884296.0,100.0,0.0
20.0,3.773139853,2.561678101445218E-6,20.0,55.00000000000001,10.000000000000009,20.0,2884296.0,100.0,0.0
21.0,3.881668366,2.6426587609935786E-6,21.0,57.14285714285714,12.903225806451612,21.0,2884296.0,100.0,0.0
22.0,3.981930925,2.717471618291517E-6,22.0,59.09090909090909,15.3846153846154,22.0,2884296.0,100.0,0.0
23.0,4.094393031,2.8013874047178698E-6,23.0,60.86956521739131,17.52988047808765,23.0,2884296.0,100.0,0.0
24.0,4.212644306,2.8896228921232355E-6,24.0,62.5,19.402985074626848,24.0,2884296.0,100.0,0.0
25.0,4.345604911,2.9888340320275394E-6,25.0,60.0,15.54054054054054,25.0,2884296.0,100.0,0.0
26.0,4.470901058,3.082326187613679E-6,26.0,57.692307692307686,10.06289308176101,26.0,2884296.0,100.0,0.0
27.0,4.59491322,3.1748602728340134E-6,27.0,59.25925925925925,11.869436201780402,27.0,2884296.0,100.0,0.0
28.0,4.710479668,3.2610924243857566E-6,28.0,60.71428571428571,17.204301075268813,28.0,2884296.0,100.0,0.0
29.0,4.831386728,3.351309577391928E-6,29.0,58.620689655172406,13.861386138613852,29.0,2884296.0,100.0,0.0
30.0,4.950200079,3.4399644687303075E-6,30.0,56.666666666666664,10.958904109589044,30.0,2884296.0,100.0,0.0
31.0,5.068696277,3.528382710192928E-6,31.0,54.83870967741935,6.465517241379317,31.0,2884296.0,100.0,0.0
32.0,5.204704611,3.629867972332231E-6,32.0,53.125,2.4390243902439024,32.0,2884296.0,100.0,0.0
33.0,5.319877479,3.71580644651658E-6,33.0,54.54545454545454,4.2553191489361515,33.0,2884296.0,100.0,0.0
34.0,5.441634854,3.806658078588394E-6,34.0,55.88235294117647,5.904059040590402,34.0,2884296.0,100.0,0.0
35.0,5.552333057,3.8892576945046125E-6,35.0,57.14285714285714,7.4074074074074,35.0,2884296.0,100.0,0.0
36.0,5.66606996,3.974124695491975E-6,36.0,55.55555555555556,4.95049504950495,36.0,2884296.0,100.0,0.0
37.0,5.775273876,4.055609320117245E-6,37.0,56.75675675675676,9.202453987730067,37.0,2884296.0,100.0,0.0
38.0,5.886670148,4.138729813786854E-6,38.0,55.26315789473685,6.916426512968303,38.0,2884296.0,100.0,0.0
39.0,6.005147363,4.2271338907150335E-6,39.0,56.41025641025641,8.298755186721987,39.0,2884296.0,100.0,0.0
40.0,6.113060097,4.307655074793054E-6,40.0,57.49999999999999,11.917098445595833,40.0,2884296.0,100.0,0.0
41.0,6.227347387,4.392932757738869E-6,41.0,56.09756097560976,8.663366336633665,41.0,2884296.0,100.0,0.0
42.0,6.33877676,4.476077950363044E-6,42.0,57.14285714285714,10.000000000000009,42.0,2884296.0,100.0,0.0
43.0,6.441988027,4.553091043452065E-6,43.0,58.139534883720934,11.238532110091745,43.0,2884296.0,100.0,0.0
44.0,6.548078753,4.632252700844758E-6,44.0,59.09090909090909,14.470842332613396,44.0,2884296.0,100.0,0.0
45.0,6.634686703,4.696876906219538E-6,45.0,60.0,17.3469387755102,45.0,2884296.0,100.0,0.0
46.0,6.739754515,4.7752752964477645E-6,46.0,60.86956521739131,19.922630560928443,46.0,2884296.0,100.0,0.0
47.0,6.851175597,4.857764708835473E-6,47.0,61.702127659574465,22.242647058823533,47.0,2861760.0,100.0,0.0
48.0,6.947104167,4.928784404825261E-6,48.0,62.5,23.40425531914894,48.0,2861760.0,100.0,0.0
49.0,7.047952649,5.003977062895082E-6,49.0,61.224489795918366,20.63086104006821,49.0,2882096.0,100.0,0.0
50.0,7.146963312,5.078338363854842E-6,50.0,60.0,18.433931484502434,50.0,2903136.0,100.0,0.0
51.0,7.265601369,5.167516558747863E-6,51.0,60.78431372549019,20.56074766355139,51.0,2905608.0,100.0,0.0
52.0,7.363573859,5.241160800977611E-6,52.0,61.53846153846154,22.503725782414307,52.0,2905608.0,100.0,0.0
53.0,7.483564305,5.331355563512271E-6,53.0,60.37735849056604,20.44317369549679,53.0,2905608.0,100.0,0.0
54.0,7.628854263,5.440567535776137E-6,54.0,61.111111111111114,22.222222222222232,54.0,2905608.0,100.0,0.0
55.0,7.811581164,5.5779202167086625E-6,55.0,60.0,19.761273209549067,55.0,2905608.0,100.0,0.0
56.0,7.984744708,5.708163129684991E-6,56.0,58.92857142857143,17.435897435897445,56.0,2907368.0,100.0,0.0
57.0,8.156125719,5.837065331533367E-6,57.0,59.64912280701754,19.12399753238741,57.0,2907368.0,100.0,0.0
58.0,8.310318382,5.953039520584945E-6,58.0,60.3448275862069,20.68965517241379,58.0,2907368.0,100.0,0.0
59.0,8.430361858,6.043328802248318E-6,59.0,59.32203389830508,18.80733944954128,59.0,2907368.0,100.0,0.0
60.0,8.549310344,6.132794500125025E-6,60.0,60.0,20.265780730896992,60.0,2907368.0,100.0,0.0
