learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.012057284,2.215924520633287E-9,1.0,0.0,0.0,1.0,710408.0,100.0,0.0
2.0,0.087080944,2.3945721217791244E-8,2.0,50.0,0.0,2.0,1119592.0,100.0,0.0
3.0,0.141883817,4.319145152723831E-8,3.0,33.33333333333333,0.0,3.0,1357480.0,100.0,0.0
4.0,0.195235508,6.3340228872204E-8,4.0,25.0,-50.0,4.0,1459832.0,100.0,0.0
5.0,0.279772251,9.570355929325025E-8,5.0,40.0,-36.363636363636374,5.0,1479824.0,100.0,0.0
6.0,0.338871476,1.1855353779324435E-7,6.0,50.0,-28.571428571428587,6.0,1494536.0,100.0,0.0
7.0,0.398520643,1.4211204419445454E-7,7.0,42.857142857142854,-27.272727272727266,7.0,1526672.0,100.0,0.0
8.0,0.459067377,1.6610774889623747E-7,8.0,37.5,-42.857142857142854,8.0,1531952.0,100.0,0.0
9.0,0.519832467,1.902677113526625E-7,9.0,33.33333333333333,-42.105263157894754,9.0,1536896.0,100.0,0.0
10.0,0.580786453,2.145305312789211E-7,10.0,30.0,-52.17391304347827,10.0,1538656.0,100.0,0.0
11.0,0.640933831,2.385107444949055E-7,11.0,27.27272727272727,-51.72413793103446,11.0,1541128.0,100.0,0.0
12.0,0.701550961,2.626782435659547E-7,12.0,25.0,-58.82352941176471,12.0,1541128.0,100.0,0.0
13.0,0.767855128,2.891131126265518E-7,13.0,30.76923076923077,-51.94805194805194,13.0,1541128.0,100.0,0.0
14.0,0.857116528,3.2470082193546414E-7,14.0,28.57142857142857,-52.17391304347827,14.0,1541128.0,100.0,0.0
15.0,0.915443163,3.479551214573967E-7,15.0,33.33333333333333,-36.36363636363636,15.0,1541128.0,100.0,0.0
16.0,0.97173161,3.7039681393909787E-7,16.0,37.5,-25.0,16.0,1541128.0,100.0,0.0
17.0,1.021918435,3.9040584515793663E-7,17.0,41.17647058823529,-16.43835616438357,17.0,1541128.0,100.0,0.0
18.0,1.072314489,4.1049829407839103E-7,18.0,38.88888888888889,-22.22222222222222,18.0,1541128.0,100.0,0.0
19.0,1.123060339,4.3073020348641813E-7,19.0,36.84210526315789,-25.274725274725263,19.0,1541128.0,100.0,0.0
20.0,1.173406967,4.508029467096697E-7,20.0,35.0,-30.000000000000004,20.0,1541128.0,100.0,0.0
21.0,1.223435967,4.707490545347271E-7,21.0,38.095238095238095,-24.657534246575345,21.0,1541128.0,100.0,0.0
22.0,1.273182491,4.905825417446614E-7,22.0,40.909090909090914,-20.168067226890745,22.0,1541128.0,100.0,0.0
23.0,1.323195058,5.105220978818999E-7,23.0,43.47826086956522,-16.342412451361877,23.0,1541128.0,100.0,0.0
24.0,1.373435942,5.305526819329543E-7,24.0,45.83333333333333,-13.043478260869579,24.0,1541128.0,100.0,0.0
25.0,1.42435318,5.508529221796534E-7,25.0,44.0,-15.894039735099346,25.0,1541128.0,100.0,0.0
26.0,1.481188985,5.735128413236285E-7,26.0,42.30769230769231,-19.63190184049079,26.0,1541128.0,100.0,0.0
27.0,1.532098007,5.938098059257636E-7,27.0,44.44444444444444,-16.71469740634007,27.0,1541128.0,100.0,0.0
28.0,1.588181589,6.161698205930056E-7,28.0,42.857142857142854,-19.148936170212778,28.0,1541128.0,100.0,0.0
29.0,1.639985007,6.368233727554417E-7,29.0,44.827586206896555,-13.170731707317069,29.0,1541128.0,100.0,0.0
30.0,1.692077254,6.575920784163888E-7,30.0,46.666666666666664,-8.108108108108116,30.0,1541128.0,100.0,0.0
31.0,1.742844099,6.778323583401925E-7,31.0,45.16129032258064,-11.41649048625792,31.0,1541128.0,100.0,0.0
32.0,1.79325425,6.979304276064866E-7,32.0,46.875,-8.799999999999999,32.0,1541128.0,100.0,0.0
33.0,1.843760488,7.180668058868041E-7,33.0,48.484848484848484,-6.4516129032258105,33.0,1541128.0,100.0,0.0
34.0,1.896002133,7.388950751731855E-7,34.0,50.0,-4.332129963898914,34.0,1541128.0,100.0,0.0
35.0,1.946304022,7.589499813635564E-7,35.0,51.42857142857142,-2.409638554216873,35.0,1541128.0,100.0,0.0
36.0,1.997178271,7.792330822864774E-7,36.0,50.0,-4.854368932038834,36.0,1541128.0,100.0,0.0
37.0,2.047276571,7.992068193919976E-7,37.0,51.35135135135135,-0.6042296072507571,37.0,1541128.0,100.0,0.0
38.0,2.098302036,8.195502087604378E-7,38.0,52.63157894736842,3.1161473087818625,38.0,1541128.0,100.0,0.0
39.0,2.149107607,8.398059283886456E-7,39.0,51.28205128205128,0.26917900403767886,39.0,1541128.0,100.0,0.0
40.0,2.199205496,8.597795016321994E-7,40.0,50.0,-2.040816326530614,40.0,1541128.0,100.0,0.0
41.0,2.250272401,8.801394127521891E-7,41.0,48.78048780487805,-4.6172539489672015,41.0,1541128.0,100.0,0.0
42.0,2.301107226,9.004067956844467E-7,42.0,50.0,-2.7972027972028,42.0,1541128.0,100.0,0.0
43.0,2.350375264,9.200495148728579E-7,43.0,51.162790697674424,-1.119820828667412,43.0,1541128.0,100.0,0.0
44.0,2.398617851,9.392833960630018E-7,44.0,50.0,-3.198294243070358,44.0,1541128.0,100.0,0.0
45.0,2.446572725,9.58402568693697E-7,45.0,51.11111111111111,0.0,45.0,1541128.0,100.0,0.0
46.0,2.494688963,9.775860756853242E-7,46.0,52.17391304347826,2.8790786948176628,46.0,1541128.0,100.0,0.0
47.0,2.542626119,9.966981843103735E-7,47.0,53.191489361702125,5.484460694698349,47.0,1541128.0,100.0,0.0
48.0,2.590657864,1.0158480047104548E-6,48.0,52.083333333333336,3.1578947368421275,48.0,1541128.0,100.0,0.0
49.0,2.638571512,1.0349507409094562E-6,49.0,53.06122448979592,4.7337278106508895,49.0,1541128.0,100.0,0.0
50.0,2.687121487,1.0543071749028168E-6,50.0,52.0,2.755267423014598,50.0,1541128.0,100.0,0.0
51.0,2.736515126,1.0739999700689397E-6,51.0,52.94117647058824,5.1162790697674385,51.0,1541128.0,100.0,0.0
52.0,2.786071122,1.0937574954960743E-6,52.0,53.84615384615385,7.280832095096581,52.0,1541128.0,100.0,0.0
53.0,2.835210713,1.1133490040324275E-6,53.0,54.71698113207547,9.272467902995727,53.0,1541128.0,100.0,0.0
54.0,2.884348597,1.1329398320033876E-6,54.0,55.55555555555556,11.111111111111116,54.0,1541128.0,100.0,0.0
55.0,2.937900593,1.154290526329939E-6,55.0,54.54545454545454,9.000661813368628,55.0,1541128.0,100.0,0.0
56.0,2.987078093,1.1738971488402183E-6,56.0,55.35714285714286,10.485933503836316,56.0,1541128.0,100.0,0.0
57.0,3.036251711,1.1935022236323624E-6,57.0,54.385964912280706,8.631319358816283,57.0,1541128.0,100.0,0.0
58.0,3.085163931,1.2130030814165061E-6,58.0,55.172413793103445,10.344827586206895,58.0,1541128.0,100.0,0.0
59.0,3.134077611,1.232504521289387E-6,59.0,55.932203389830505,11.940298507462678,59.0,1541128.0,100.0,0.0
60.0,3.18292095,1.2519779168445615E-6,60.0,56.666666666666664,13.429522752497212,60.0,1541128.0,100.0,0.0
61.0,3.232204095,1.2716266590566371E-6,61.0,55.73770491803278,11.499193981730246,61.0,1541128.0,100.0,0.0
62.0,3.280929192,1.2910529126005492E-6,62.0,56.451612903225815,12.903225806451623,62.0,1541128.0,100.0,0.0
63.0,3.331349741,1.3111551274549854E-6,63.0,57.14285714285714,14.220877458396364,63.0,1541128.0,100.0,0.0
64.0,3.381708713,1.3312327921189012E-6,64.0,56.25,12.5,64.0,1541128.0,100.0,0.0
65.0,3.431610638,1.351128236295837E-6,65.0,55.38461538461539,10.705826622453822,65.0,1541128.0,100.0,0.0
66.0,3.481358229,1.3709621489089786E-6,66.0,54.54545454545454,9.090909090909083,66.0,1541128.0,100.0,0.0
67.0,3.531628093,1.391004287022772E-6,67.0,53.73134328358209,7.400802496656257,67.0,1541128.0,100.0,0.0
68.0,3.580750074,1.4105887746120984E-6,68.0,54.41176470588235,8.665511265164644,68.0,1541128.0,100.0,0.0
69.0,3.631655582,1.4308843382143555E-6,69.0,55.072463768115945,9.860935524652344,69.0,1541128.0,100.0,0.0
70.0,3.689812496,1.4540709715153728E-6,70.0,54.285714285714285,8.3469721767594,70.0,1541128.0,100.0,0.0
71.0,3.749212878,1.4777533642120406E-6,71.0,54.929577464788736,9.769658459094536,71.0,1541128.0,100.0,0.0
72.0,3.802671608,1.4990668742316418E-6,72.0,54.166666666666664,8.191653786707885,72.0,1541128.0,100.0,0.0
73.0,3.856015429,1.5203345710768028E-6,73.0,53.42465753424658,6.761833208114204,73.0,1541128.0,100.0,0.0
74.0,3.909473189,1.5416476943662157E-6,74.0,54.054054054054056,8.108108108108114,74.0,1541128.0,100.0,0.0
75.0,3.963251663,1.5630886834139889E-6,75.0,53.333333333333336,6.616862326574177,75.0,1541128.0,100.0,0.0
76.0,4.017508723,1.5847204803523767E-6,76.0,53.94736842105263,7.76699029126213,76.0,1541128.0,100.0,0.0
77.0,4.070997986,1.6060461636017091E-6,77.0,53.246753246753244,6.414584740040519,77.0,1541128.0,100.0,0.0
78.0,4.122328658,1.6265112362284788E-6,78.0,52.56410256410257,5.003291639236357,78.0,1541128.0,100.0,0.0
79.0,4.17126393,1.6460212846356128E-6,79.0,51.89873417721519,3.720333547145607,79.0,1541128.0,100.0,0.0
