learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.187738892,3.222129998061392E-8,7.0,28.57142857142857,-52.17391304347827,7.0,663424.0,50.0,38.0
14.0,0.323832708,5.578079586868485E-8,14.0,28.57142857142857,-34.615384615384606,14.0,669160.0,50.0,28.0
21.0,0.390548018,6.73300279926219E-8,21.0,38.095238095238095,-21.333333333333318,21.0,669160.0,50.0,33.0
28.0,0.429182813,7.401818121435949E-8,28.0,46.42857142857143,-9.374999999999998,28.0,669160.0,50.0,27.0
35.0,0.460994593,7.952518749965769E-8,35.0,48.57142857142857,-9.756097560975622,35.0,669160.0,50.0,26.0
42.0,0.492327855,8.494935649532205E-8,42.0,50.0,-10.526315789473697,42.0,669160.0,50.0,31.0
49.0,0.524052077,9.044120542519002E-8,49.0,46.93877551020408,-17.09558823529409,49.0,669160.0,50.0,31.0
56.0,0.55623502,9.60124645430512E-8,56.0,50.0,-11.363636363636378,56.0,669160.0,50.0,28.0
63.0,0.587943193,1.0150153519569379E-7,63.0,50.79365079365079,-12.048192771084336,63.0,669160.0,50.0,36.0
70.0,0.620924297,1.0721096569672434E-7,70.0,51.42857142857142,-10.08325624421831,70.0,669160.0,50.0,38.0
77.0,0.652230185,1.1263039591983168E-7,77.0,51.94805194805194,-10.726778080062193,77.0,669160.0,50.0,31.0
84.0,0.683211506,1.1799363964507564E-7,84.0,51.19047619047619,-12.992125984251967,84.0,669160.0,50.0,38.0
91.0,0.714248036,1.2336644072014426E-7,91.0,51.64835164835166,-11.34593993325916,91.0,669160.0,50.0,35.0
98.0,0.743508222,1.2843173502970488E-7,98.0,51.02040816326531,-13.240250361097718,98.0,669160.0,50.0,36.0
105.0,0.773914083,1.336953596252762E-7,105.0,51.42857142857142,-10.071942446043181,105.0,669160.0,50.0,31.0
112.0,0.803310115,1.3878417053075922E-7,112.0,53.57142857142857,-6.432748538011709,112.0,669160.0,50.0,34.0
119.0,0.834505826,1.4418452777425037E-7,119.0,52.94117647058824,-8.252111760883695,119.0,669160.0,50.0,34.0
126.0,0.864540592,1.493839113088863E-7,126.0,53.17460317460318,-7.334680912503607,126.0,669160.0,50.0,36.0
133.0,0.894111774,1.5450304281104359E-7,133.0,51.8796992481203,-8.65458258871584,133.0,669160.0,50.0,37.0
140.0,0.921949615,1.5932211189036364E-7,140.0,50.71428571428571,-11.034482758620696,140.0,669160.0,50.0,35.0
