learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.316908461,1.0808829295304085E-7,7.0,42.857142857142854,-7.69230769230769,7.0,1318400.0,100.0,0.0
14.0,0.496106772,1.6944129218974458E-7,14.0,50.0,-4.255319148936175,14.0,1323440.0,100.0,0.0
21.0,0.639962486,2.1847504662714066E-7,21.0,52.38095238095239,5.4054054054054115,21.0,1317560.0,100.0,0.0
28.0,0.822307791,2.809711621618519E-7,28.0,50.0,0.0,28.0,1324832.0,100.0,0.0
35.0,0.936515399,3.2032872424207623E-7,35.0,54.285714285714285,4.761904761904749,35.0,1332096.0,100.0,0.0
42.0,1.038222643,3.553784835342814E-7,42.0,54.761904761904766,2.919708029197084,42.0,1332096.0,100.0,0.0
49.0,1.114272629,3.815863876976817E-7,49.0,51.02040816326531,-5.376344086021521,49.0,1332096.0,100.0,0.0
56.0,1.181677259,4.048149795242398E-7,56.0,51.78571428571429,-1.886792452830182,56.0,1332096.0,100.0,0.0
63.0,1.246406986,4.2712176182580483E-7,63.0,46.03174603174603,-12.618296529968461,63.0,1332096.0,100.0,0.0
70.0,1.310478182,4.492016050016134E-7,70.0,51.42857142857142,-3.930131004366836,70.0,1332096.0,100.0,0.0
77.0,1.376000943,4.717816780710468E-7,77.0,53.246753246753244,-0.7267441860465199,77.0,1332096.0,100.0,0.0
84.0,1.437698913,4.930436738962183E-7,84.0,52.38095238095239,-3.130755064456707,84.0,1332096.0,100.0,0.0
91.0,1.500878382,5.148162152961144E-7,91.0,50.54945054945055,-7.3394495412844,91.0,1332096.0,100.0,0.0
98.0,1.565055865,5.369326864801098E-7,98.0,53.06122448979592,-4.64252553389042,98.0,1332096.0,100.0,0.0
105.0,1.656885927,5.685786287188777E-7,105.0,53.333333333333336,-3.417085427135684,105.0,1332096.0,100.0,0.0
112.0,1.715539525,5.887914907596756E-7,112.0,53.57142857142857,-4.335363668935878,112.0,1332096.0,100.0,0.0
119.0,1.767748121,6.067833136703818E-7,119.0,53.78151260504202,-4.904632152588567,119.0,1332096.0,100.0,0.0
126.0,1.816172229,6.2347094832244E-7,126.0,55.55555555555556,-1.818181818181812,126.0,1332096.0,100.0,0.0
133.0,1.863851122,6.398155280429662E-7,133.0,54.13533834586466,-4.643363859151307,133.0,1325104.0,100.0,0.0
140.0,1.920287628,6.592601438773712E-7,140.0,56.42857142857143,-2.299952084331578,140.0,1331808.0,100.0,0.0
147.0,1.973842792,6.777197817203277E-7,147.0,57.82312925170068,-1.0869565217391495,147.0,1332368.0,100.0,0.0
154.0,2.025554573,6.954504958151155E-7,154.0,58.44155844155844,-0.7977091429740312,154.0,1325376.0,100.0,0.0
