learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10.0,0.302822063,7.276496291688746E-8,10.0,30.0,-40.0,10.0,928832.0,50.0,38.0
20.0,0.469376034,1.127861337768038E-7,20.0,45.0,-7.843137254901968,20.0,928832.0,50.0,27.0
30.0,0.551026027,1.3240576998808316E-7,30.0,46.666666666666664,-6.666666666666665,30.0,928832.0,50.0,38.0
40.0,0.604768307,1.4531947572183275E-7,40.0,50.0,-0.7556675062972356,40.0,928832.0,50.0,21.0
50.0,0.66016236,1.5863008516828216E-7,50.0,44.0,-13.452188006482974,50.0,928832.0,50.0,20.0
60.0,0.714823033,1.7176447109926074E-7,60.0,41.66666666666667,-19.047619047619047,60.0,928832.0,50.0,21.0
70.0,0.766030685,1.8406913233142756E-7,70.0,40.0,-23.218776194467736,70.0,928832.0,50.0,17.0
80.0,0.832024055,1.9992664638848764E-7,80.0,42.5,-20.81418253447144,80.0,928832.0,50.0,18.0
90.0,0.87580879,2.1044765858633647E-7,90.0,46.666666666666664,-14.588859416445615,90.0,928832.0,50.0,21.0
100.0,0.9187933,2.2077638511690824E-7,100.0,47.0,-15.619546247818498,100.0,928832.0,50.0,21.0
110.0,0.96229195,2.3122865409238467E-7,110.0,49.09090909090909,-8.718672785033549,110.0,928832.0,50.0,27.0
120.0,1.004788003,2.4144000953334896E-7,120.0,49.166666666666664,-7.583774250440915,120.0,928832.0,50.0,17.0
130.0,1.04714224,2.516172880782021E-7,130.0,51.53846153846153,-3.278688524590176,130.0,928832.0,50.0,19.0
140.0,1.087121766,2.612239484978715E-7,140.0,54.285714285714285,0.643158128188064,140.0,928832.0,50.0,23.0
150.0,1.128361483,2.7113341958620475E-7,150.0,54.0,0.6908462867012287,150.0,928832.0,50.0,22.0
160.0,1.168306526,2.8073179410295346E-7,160.0,55.00000000000001,2.040816326530617,160.0,928832.0,50.0,18.0
170.0,1.209092812,2.905323104817999E-7,170.0,56.470588235294116,4.826751399606607,170.0,928832.0,50.0,20.0
180.0,1.261559596,3.0313952791604726E-7,180.0,57.77777777777777,8.605024051309455,180.0,928832.0,50.0,21.0
190.0,1.31415595,3.1577787966115604E-7,190.0,60.0,11.875991700231909,190.0,928832.0,50.0,20.0
200.0,1.363471242,3.276278266500433E-7,200.0,59.0,9.372236958443853,200.0,928832.0,50.0,26.0
210.0,1.431523357,3.439800355192853E-7,210.0,59.04761904761905,9.264469453376215,210.0,928832.0,50.0,26.0
220.0,1.468581884,3.5288481054193443E-7,220.0,58.63636363636363,7.826887661141792,220.0,928832.0,50.0,24.0
230.0,1.504094723,3.6141817296377484E-7,230.0,59.56521739130435,9.079316500892629,230.0,928832.0,50.0,20.0
240.0,1.538038092,3.69574408219854E-7,240.0,60.416666666666664,10.798122065727686,240.0,928832.0,50.0,20.0
250.0,1.569676434,3.771767696844538E-7,250.0,60.0,9.981276105429918,250.0,928832.0,50.0,24.0
260.0,1.600776202,3.846497174704406E-7,260.0,60.38461538461538,10.43478260869564,260.0,928832.0,50.0,21.0
270.0,1.631298061,3.9198379979022675E-7,270.0,60.0,9.170196860204328,270.0,928832.0,50.0,21.0
280.0,1.661584518,3.992613174805045E-7,280.0,60.0,8.964235949837441,280.0,928832.0,50.0,23.0
290.0,1.691918569,4.065502715093725E-7,290.0,60.0,8.829746869749036,290.0,928832.0,50.0,26.0
300.0,1.722556788,4.1391231391568974E-7,300.0,60.0,8.703590992087625,300.0,928832.0,50.0,24.0
310.0,1.751994817,4.209859632637931E-7,310.0,60.967741935483865,9.610101691647776,310.0,928832.0,50.0,17.0
320.0,1.781606859,4.2810142610912517E-7,320.0,60.9375,10.370171192973016,320.0,928832.0,50.0,28.0
330.0,1.812467129,4.3551682503980064E-7,330.0,61.212121212121204,10.697674418604644,330.0,928832.0,50.0,22.0
