learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10.0,0.307967602,7.360174998672887E-8,10.0,70.0,0.0,10.0,923816.0,50.0,0.0
20.0,0.490784225,1.1753066540788032E-7,20.0,55.00000000000001,8.163265306122456,20.0,928832.0,50.0,0.0
30.0,0.569221445,1.3637830599278627E-7,30.0,63.33333333333333,15.38461538461538,30.0,928832.0,50.0,0.0
40.0,0.621152462,1.4885678424105465E-7,40.0,67.5,20.731707317073187,40.0,928832.0,50.0,0.0
50.0,0.67489751,1.6177115509614764E-7,50.0,72.0,23.245614035087712,50.0,928832.0,50.0,0.0
60.0,0.72621015,1.7410104384262118E-7,60.0,68.33333333333333,13.63636363636362,60.0,928832.0,50.0,0.0
70.0,0.775979885,1.8606018871397197E-7,70.0,70.0,20.02176278563656,70.0,928832.0,50.0,0.0
80.0,0.832032772,1.9952910905462588E-7,80.0,70.0,19.999999999999986,80.0,928832.0,50.0,0.0
90.0,0.883858912,2.1198238646072234E-7,90.0,68.88888888888889,15.831663326653308,90.0,928832.0,50.0,0.0
100.0,0.930875663,2.2328001817584453E-7,100.0,67.0,10.810810810810793,100.0,928832.0,50.0,0.0
110.0,0.977922916,2.3458497920137727E-7,110.0,68.18181818181817,13.014008133755079,110.0,928832.0,50.0,0.0
120.0,1.023356456,2.4550218193268195E-7,120.0,67.5,12.359550561797768,120.0,928832.0,50.0,0.0
130.0,1.067689033,2.561548348122545E-7,130.0,65.38461538461539,7.7578051087985,130.0,928832.0,50.0,0.0
140.0,1.111584755,2.667025160211366E-7,140.0,64.28571428571429,4.787812840043553,140.0,928832.0,50.0,0.0
150.0,1.160114604,2.7836372930217534E-7,150.0,65.33333333333333,4.993909866017031,150.0,928832.0,50.0,0.0
160.0,1.20544931,2.892571832607728E-7,160.0,66.25,5.096660808435837,160.0,928832.0,50.0,0.0
170.0,1.252149785,3.001852863542963E-7,170.0,66.47058823529412,4.343534057255679,170.0,904536.0,50.0,0.0
180.0,1.31057886,3.144065674496007E-7,180.0,65.0,3.0106055422511444,180.0,940832.0,50.0,0.0
190.0,1.357667609,3.2586768224485007E-7,190.0,63.68421052631579,3.2472324723247388,190.0,940832.0,50.0,0.0
200.0,1.402107151,3.3668399618664335E-7,200.0,62.0,3.7121500063347126,200.0,940832.0,50.0,0.0
210.0,1.466116643,3.5227941373131953E-7,210.0,62.857142857142854,4.030935083196601,210.0,941792.0,50.0,0.0
220.0,1.503285332,3.613352772670466E-7,220.0,63.18181818181819,3.675675675675681,220.0,941792.0,50.0,0.0
230.0,1.543183332,3.7117436103464613E-7,230.0,63.47826086956522,4.4037605145967245,230.0,953248.0,50.0,0.0
240.0,1.5790281,3.800138937175418E-7,240.0,62.916666666666664,3.904984703976972,240.0,953248.0,50.0,0.0
250.0,1.611947528,3.8813202018186236E-7,250.0,62.4,2.489626556016583,250.0,953248.0,50.0,0.0
260.0,1.643742427,3.959728311158281E-7,260.0,63.07692307692307,3.67397344859527,260.0,953248.0,50.0,0.0
270.0,1.67596703,4.0391960960835E-7,270.0,63.33333333333333,3.383214053350673,270.0,953248.0,50.0,0.0
280.0,1.708247148,4.1188809528362204E-7,280.0,63.21428571428571,3.467666354264297,280.0,954208.0,50.0,0.0
290.0,1.739648337,4.196396135628616E-7,290.0,64.13793103448275,4.144419018560888,290.0,954208.0,50.0,0.0
300.0,1.771294697,4.2745165335573043E-7,300.0,63.66666666666667,2.8520499108734527,300.0,954208.0,50.0,0.0
310.0,1.805695044,4.3594352665972167E-7,310.0,62.903225806451616,2.887496594933265,310.0,954208.0,50.0,0.0
320.0,1.836356901,4.435125376615321E-7,320.0,62.81250000000001,2.1984795561947963,320.0,954208.0,50.0,0.0
330.0,1.867477482,4.51194786651596E-7,330.0,63.33333333333333,3.143647212923853,330.0,954208.0,50.0,0.0
340.0,1.899508696,4.5910182930616656E-7,340.0,63.23529411764706,5.345211581291755,340.0,954208.0,50.0,0.0
350.0,1.930068047,4.66645536261919E-7,350.0,64.0,5.913978494623632,350.0,954208.0,50.0,0.0
360.0,1.963406996,4.7487774486237303E-7,360.0,62.22222222222222,2.8995279838166064,360.0,954480.0,50.0,0.0
370.0,1.994755581,4.826184835116047E-7,370.0,62.43243243243243,3.3234332117748724,370.0,954480.0,50.0,0.0
380.0,2.026052002,4.903463415829443E-7,380.0,62.36842105263158,3.3783783783784167,380.0,954480.0,50.0,0.0
390.0,2.060548054,4.988547007542951E-7,390.0,63.07692307692307,3.917878528656994,390.0,953408.0,50.0,0.0
400.0,2.09377839,5.070624284323821E-7,400.0,63.5,4.048370136698233,400.0,954752.0,50.0,0.0
410.0,2.140036576,5.187395650000973E-7,410.0,63.170731707317074,3.165764694841539,410.0,975776.0,50.0,0.0
420.0,2.176130182,5.278712094706524E-7,420.0,62.142857142857146,1.329787234042569,420.0,977960.0,50.0,0.0
430.0,2.209732194,5.364720687279911E-7,430.0,62.093023255813954,0.8543865108778753,430.0,989416.0,50.0,0.0
440.0,2.242584086,5.448890841553504E-7,440.0,61.59090909090909,-0.2156334231805865,440.0,990376.0,50.0,0.0
450.0,2.275145129,5.532315808755365E-7,450.0,61.111111111111114,-0.6750019176190513,450.0,990376.0,50.0,0.0
460.0,2.308617875,5.618076659143549E-7,460.0,61.08695652173913,-1.0753216144554585,460.0,990376.0,50.0,0.0
470.0,2.339908069,5.698245571674695E-7,470.0,61.48936170212767,-0.8966482434708134,470.0,990376.0,50.0,0.0
480.0,2.373034195,5.783118343565778E-7,480.0,61.458333333333336,0.2964160603610776,480.0,990376.0,50.0,0.0
490.0,2.408801184,5.875781782556676E-7,490.0,61.836734693877546,0.4562737642585647,490.0,1001448.0,50.0,0.0
500.0,2.442416768,5.963834325001408E-7,500.0,61.8,0.5664070634292788,500.0,1012520.0,50.0,0.0
510.0,2.476912789,6.054193081025902E-7,510.0,61.568627450980394,1.3442292888020502,510.0,1012520.0,50.0,0.0
520.0,2.508373098,6.136600103719511E-7,520.0,61.92307692307693,1.9559296855657387,520.0,1012520.0,50.0,0.0
530.0,2.540092751,6.219686451174152E-7,530.0,61.886792452830186,2.0243063181785077,530.0,1012520.0,50.0,0.0
540.0,2.572789379,6.305331883506061E-7,540.0,61.48148148148148,1.1389441442075665,540.0,1012520.0,50.0,0.0
550.0,2.605784597,6.391759441433307E-7,550.0,60.54545454545455,-0.4443621551564395,550.0,1012520.0,50.0,0.0
560.0,2.639100749,6.479027652750866E-7,560.0,60.71428571428571,1.1553273427470838,560.0,1012520.0,50.0,0.0
570.0,2.671583195,6.564112057505628E-7,570.0,60.35087719298245,0.7397133610725939,570.0,1012520.0,50.0,0.0
580.0,2.703814047,6.648537437822088E-7,580.0,60.51724137931035,1.046012635594266,580.0,1012520.0,50.0,0.0
590.0,2.737589205,6.737007967840919E-7,590.0,60.0,0.41909230043050744,590.0,1012520.0,50.0,0.0
600.0,2.775835579,6.837147641663251E-7,600.0,60.16666666666667,2.145430723878162,600.0,1012088.0,50.0,0.0
610.0,2.818148416,6.94788716145201E-7,610.0,60.1639344262295,2.5277167694675016,610.0,1011656.0,50.0,0.0
620.0,2.852743925,7.038601026757265E-7,620.0,59.83870967741935,2.105263157894745,620.0,1013576.0,50.0,0.0
630.0,2.892569429,7.143083833749796E-7,630.0,59.523809523809526,1.6962220508866872,630.0,1014112.0,50.0,0.0
640.0,2.92659598,7.232353000582048E-7,640.0,59.21875,1.299929094776622,640.0,1014112.0,50.0,0.0
650.0,2.962727706,7.327080816150247E-7,650.0,58.92307692307692,1.5162692512852978,650.0,1013424.0,50.0,0.0
660.0,2.994412241,7.411166990979593E-7,660.0,58.63636363636363,1.4052137369492361,660.0,1025840.0,50.0,0.0
670.0,3.026225206,7.495594000460081E-7,670.0,58.656716417910445,1.17152138026518,670.0,1025840.0,50.0,0.0
680.0,3.058576453,7.581449532541878E-7,680.0,58.6764705882353,0.9414399469144151,680.0,1025840.0,50.0,0.0
