learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2.0,0.158795329,2.5699939015424914E-10,2.0,100.0,?,2.0,6256.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4.0,0.172260862,2.813563229309188E-10,4.0,75.0,0.0,4.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6.0,0.177589782,2.9099546207322017E-10,6.0,66.66666666666666,0.0,6.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8.0,0.180613301,2.9646451027443015E-10,8.0,75.0,0.0,8.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10.0,0.183716938,3.020784787502554E-10,10.0,70.0,28.571428571428548,10.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12.0,0.186849222,3.077442649337981E-10,12.0,66.66666666666666,22.58064516129032,12.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14.0,0.189713946,3.1292607911758956E-10,14.0,64.28571428571429,22.222222222222243,14.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16.0,0.192289326,3.175845176312659E-10,16.0,68.75,25.925925925925924,16.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18.0,0.194667524,3.218862863630057E-10,18.0,72.22222222222221,28.57142857142856,18.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20.0,0.19700444,3.2611338275174306E-10,20.0,65.0,14.634146341463428,20.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22.0,0.199444447,3.3052695379075084E-10,22.0,63.63636363636363,16.98113207547169,22.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24.0,0.201630565,3.344812814187673E-10,24.0,62.5,19.402985074626848,24.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26.0,0.213381987,3.5573766953829267E-10,26.0,65.38461538461539,26.41509433962265,26.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28.0,0.215500616,3.5956992067396643E-10,28.0,67.85714285714286,32.25806451612904,28.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30.0,0.217565832,3.6330555648439464E-10,30.0,63.33333333333333,24.65753424657534,30.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32.0,0.219515218,3.668316748903858E-10,32.0,65.625,31.25,32.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34.0,0.221644933,3.706839787753092E-10,34.0,64.70588235294117,28.169014084507044,34.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36.0,0.223620555,3.7425755378686723E-10,36.0,63.888888888888886,26.87499999999999,36.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38.0,0.225403228,3.774821158167389E-10,38.0,63.1578947368421,24.645892351274778,38.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40.0,0.227135262,3.806150802307659E-10,40.0,60.0,18.987341772151897,40.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42.0,0.228798347,3.8362332725276554E-10,42.0,57.14285714285714,13.302752293577969,42.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44.0,0.230514903,3.8672829451246396E-10,44.0,56.81818181818182,12.55230125523013,44.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46.0,0.232167057,3.89716769154701E-10,46.0,58.69565217391305,17.391304347826097,46.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48.0,0.234433756,3.9381685454812316E-10,48.0,60.416666666666664,19.999999999999986,48.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50.0,0.238336891,4.008769833089577E-10,50.0,62.0,23.26332794830371,50.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52.0,0.239798244,4.035203303479486E-10,52.0,59.61538461538461,18.50746268656715,52.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54.0,0.241181361,4.0602216134054794E-10,54.0,61.111111111111114,22.222222222222232,54.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56.0,0.242544006,4.0848696185482876E-10,56.0,60.71428571428571,20.924261874197672,56.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
58.0,0.243920798,4.109773519635201E-10,58.0,62.06896551724138,23.684210526315795,58.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60.0,0.245292125,4.134578567867478E-10,60.0,61.66666666666667,22.991071428571434,60.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
62.0,0.246747882,4.1609108158283767E-10,62.0,62.903225806451616,25.49634273772205,62.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
64.0,0.248659747,4.1954933067576756E-10,64.0,64.0625,27.84313725490196,64.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66.0,0.250108245,4.2216942513568536E-10,66.0,63.63636363636363,26.734505087881594,66.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
68.0,0.251463767,4.2462134131540856E-10,68.0,64.70588235294117,28.9198606271777,68.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
70.0,0.252798429,4.2703552518867786E-10,70.0,62.857142857142854,25.409836065573764,70.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
72.0,0.254158434,4.294955503775014E-10,72.0,63.888888888888886,27.498063516653747,72.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
74.0,0.256079112,4.3296974073681566E-10,74.0,64.86486486486487,29.472140762463344,74.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
76.0,0.258572625,4.3748009532276126E-10,76.0,64.47368421052632,28.650904033379692,76.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
78.0,0.2599237,4.3992396761145857E-10,78.0,65.38461538461539,30.76923076923077,78.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
80.0,0.26123527,4.4229638185766006E-10,80.0,66.25,32.49999999999999,80.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
82.0,0.262487844,4.4456208205057513E-10,82.0,67.07317073170732,34.14634146341464,82.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
84.0,0.263915766,4.4714495791329276E-10,84.0,66.66666666666666,33.33333333333333,84.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
86.0,0.26470387,4.48570508327749E-10,86.0,66.27906976744185,32.558139534883715,86.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
88.0,0.265431111,4.4988596759322616E-10,88.0,67.04545454545455,33.8174273858921,88.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
90.0,0.266187112,4.51253448964821E-10,90.0,67.77777777777779,35.29995042141796,90.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
92.0,0.266953652,4.526399936527014E-10,92.0,68.47826086956522,36.415633937082944,92.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
94.0,0.267640738,4.538828191326724E-10,94.0,69.14893617021278,37.44837081229924,94.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
96.0,0.268122475,4.547542020719912E-10,96.0,68.75,36.591809775429326,96.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
98.0,0.268819799,4.5601554640879234E-10,98.0,69.38775510204081,38.26123477530449,98.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
100.0,0.270439489,4.5894529901858836E-10,100.0,70.0,39.51612903225806,100.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
102.0,0.271196431,4.6031448250429503E-10,102.0,69.6078431372549,38.79210220673634,102.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
104.0,0.271927023,4.6163600317719917E-10,104.0,70.1923076923077,39.98510796723752,104.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
106.0,0.27270284,4.630393284310898E-10,106.0,70.75471698113208,40.878013673983446,106.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
108.0,0.274147917,4.656532348651026E-10,108.0,71.29629629629629,41.71309192200556,108.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
110.0,0.274908726,4.670294131173029E-10,110.0,71.81818181818181,43.071786310517524,110.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
112.0,0.275665559,4.683983994399509E-10,112.0,71.42857142857143,42.24943602964873,112.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
114.0,0.276390189,4.697091358361974E-10,114.0,71.9298245614035,43.28358208955225,114.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
116.0,0.277186437,4.711494174061551E-10,116.0,72.41379310344827,44.28099669768839,116.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
118.0,0.277944682,4.725209578043886E-10,118.0,72.88135593220339,45.24361948955915,118.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
120.0,0.278730237,4.739418974974091E-10,120.0,72.5,44.53781512605042,120.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
122.0,0.279544573,4.754148972820906E-10,122.0,72.95081967213115,45.254283383192835,122.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
124.0,0.280234228,4.766623696602055E-10,124.0,72.58064516129032,44.36526788070731,124.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
126.0,0.281864992,4.796121533132264E-10,126.0,72.22222222222221,43.50499615680246,126.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
128.0,0.282769268,4.812478397538267E-10,128.0,72.65625,44.41687344913151,128.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
130.0,0.283470839,4.825168662145736E-10,130.0,71.53846153846153,42.25690276110445,130.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
132.0,0.285162048,4.855759849233762E-10,132.0,71.21212121212122,41.45658263305323,132.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
134.0,0.285835016,4.867932732651633E-10,134.0,70.8955223880597,41.0024836306164,134.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
136.0,0.286498071,4.879926306216255E-10,136.0,70.58823529411765,40.559440559440574,136.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
138.0,0.287140115,4.891539825374884E-10,138.0,70.28985507246377,40.025439898240414,138.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
140.0,0.287824945,4.903927272847959E-10,140.0,70.0,39.40643033800493,140.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
142.0,0.288556979,4.917168562983475E-10,142.0,70.4225352112676,40.27638694171839,142.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
144.0,0.289214869,4.929068710199662E-10,144.0,70.83333333333334,41.12149532710281,144.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
146.0,0.289870121,4.940921140337986E-10,146.0,71.23287671232876,41.75531914893616,146.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
148.0,0.290553678,4.953285561336414E-10,148.0,71.62162162162163,42.359050445103854,148.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
150.0,0.291911285,4.977842437351746E-10,150.0,72.0,42.93478260869565,150.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
152.0,0.292597831,4.990260924440293E-10,152.0,72.36842105263158,43.713630752953634,152.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
154.0,0.293218477,5.001487388999928E-10,154.0,72.72727272727273,44.25099120841234,154.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
156.0,0.294536717,5.025332180783155E-10,156.0,72.43589743589743,43.83791024782318,156.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
158.0,0.295261131,5.038435637661155E-10,158.0,72.15189873417721,43.350717079530625,158.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
160.0,0.295846641,5.049026549814479E-10,160.0,72.5,44.268524382520575,160.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
162.0,0.296489334,5.060651808314856E-10,162.0,72.22222222222221,43.67176634214186,162.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
164.0,0.297068362,5.071125471757521E-10,164.0,72.5609756097561,44.377449502562555,164.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
166.0,0.29766224,5.081867747257156E-10,166.0,72.28915662650603,43.79508317385544,166.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
168.0,0.298222853,5.092008313660823E-10,168.0,72.61904761904762,44.48275862068965,168.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
170.0,0.298817267,5.102760284518205E-10,170.0,72.94117647058823,44.97607655502392,170.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
172.0,0.299411363,5.113506503279013E-10,172.0,73.25581395348837,45.63693829874948,172.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
174.0,0.300016702,5.124456089403897E-10,174.0,73.5632183908046,46.28187919463087,174.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
176.0,0.301223999,5.146294104928775E-10,176.0,73.86363636363636,46.736842105263165,176.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
178.0,0.302520681,5.169748947976367E-10,178.0,73.59550561797754,46.157806667524774,178.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
180.0,0.303102904,5.180280403710076E-10,180.0,73.88888888888889,46.77906391545044,180.0,6992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
