learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
2.0,0.010347451,1.007967987962895E-9,2.0,100.0,?,2.0,376544.0,100.0,0.0
4.0,0.063339062,8.365954784198355E-9,4.0,50.0,-33.33333333333333,4.0,536728.0,100.0,42.0
6.0,0.090384692,1.230656561524297E-8,6.0,33.33333333333333,-50.000000000000014,6.0,563208.0,100.0,99.0
8.0,0.115302923,1.5964026367602252E-8,8.0,37.5,-42.857142857142854,8.0,567368.0,100.0,61.0
10.0,0.136918677,1.9153217355733118E-8,10.0,30.0,-52.17391304347827,10.0,570312.0,100.0,84.0
12.0,0.156916748,2.2111805880069734E-8,12.0,33.33333333333333,-37.14285714285717,12.0,571872.0,100.0,99.0
14.0,0.177528095,2.5163897450647008E-8,14.0,42.857142857142854,-16.66666666666665,14.0,572392.0,100.0,99.0
16.0,0.197764533,2.8160473163932977E-8,16.0,43.75,-16.129032258064516,16.0,572392.0,100.0,69.0
18.0,0.217192257,3.103729594780546E-8,18.0,50.0,-8.000000000000012,18.0,572392.0,100.0,65.0
20.0,0.237034098,3.397544043980953E-8,20.0,50.0,-9.8901098901099,20.0,572392.0,100.0,74.0
22.0,0.256738357,3.689321203418283E-8,22.0,45.45454545454545,-17.857142857142858,22.0,572392.0,100.0,78.0
24.0,0.276709413,3.9850490453352945E-8,24.0,45.83333333333333,-13.043478260869579,24.0,572392.0,100.0,87.0
26.0,0.297536803,4.293457328676143E-8,26.0,42.30769230769231,-19.63190184049079,26.0,572392.0,100.0,88.0
28.0,0.317651014,4.591304984348102E-8,28.0,39.285714285714285,-25.263157894736832,28.0,572392.0,100.0,88.0
30.0,0.336873104,4.8759422710711765E-8,30.0,43.333333333333336,-14.349775784753366,30.0,572392.0,100.0,86.0
32.0,0.356385569,5.1648793791004773E-8,32.0,46.875,-6.25,32.0,572392.0,100.0,80.0
34.0,0.376399267,5.461238656162182E-8,34.0,44.11764705882353,-11.764705882352944,34.0,572392.0,100.0,84.0
36.0,0.396672355,5.761438934166192E-8,36.0,44.44444444444444,-11.455108359133133,36.0,572392.0,100.0,95.0
38.0,0.41689753,6.060929724995875E-8,38.0,44.73684210526316,-11.14206128133704,38.0,572392.0,100.0,86.0
40.0,0.435868361,6.341846413177128E-8,40.0,45.0,-10.275689223057636,40.0,572392.0,100.0,87.0
42.0,0.454639234,6.619802158891741E-8,42.0,42.857142857142854,-14.545454545454541,42.0,572392.0,100.0,92.0
44.0,0.47400705,6.906597330280062E-8,44.0,40.909090909090914,-18.426501035196672,44.0,572392.0,100.0,92.0
46.0,0.492748156,7.184112291557921E-8,46.0,43.47826086956522,-13.043478260869568,46.0,572392.0,100.0,88.0
48.0,0.511840091,7.466822266211733E-8,48.0,43.75,-12.5,48.0,572392.0,100.0,88.0
50.0,0.531378332,7.756141060660282E-8,50.0,42.0,-16.000000000000004,50.0,572392.0,100.0,88.0
52.0,0.550054027,8.032687427494882E-8,52.0,42.30769230769231,-15.555555555555564,52.0,572392.0,100.0,92.0
54.0,0.569733853,8.324102787417877E-8,54.0,42.592592592592595,-14.814814814814813,54.0,572392.0,100.0,88.0
56.0,0.58888533,8.607694449407773E-8,56.0,42.857142857142854,-14.431673052362731,56.0,572392.0,100.0,88.0
58.0,0.607962879,8.89019139873464E-8,58.0,41.37931034482759,-17.380952380952387,58.0,572392.0,100.0,88.0
60.0,0.627411571,9.178184167533078E-8,60.0,41.66666666666667,-16.926503340757222,60.0,572392.0,100.0,92.0
62.0,0.645896064,9.451899249190258E-8,62.0,41.935483870967744,-16.24999999999999,62.0,572392.0,100.0,86.0
64.0,0.664909654,9.733449105031374E-8,64.0,42.1875,-15.851272015655576,64.0,572392.0,100.0,89.0
66.0,0.684048664,1.0016856157904698E-7,66.0,42.42424242424242,-15.576036866359441,66.0,572392.0,100.0,90.0
68.0,0.702669998,1.029259755672887E-7,68.0,42.64705882352941,-15.304347826086955,68.0,572392.0,100.0,92.0
70.0,0.723472372,1.0600635407595171E-7,70.0,44.285714285714285,-11.610793131643506,70.0,572392.0,100.0,88.0
72.0,0.767245081,1.1248813889866281E-7,72.0,43.05555555555556,-14.064914992272007,72.0,572392.0,100.0,89.0
74.0,0.791503493,1.1608028136178231E-7,74.0,43.24324324324324,-13.596491228070168,74.0,572392.0,100.0,87.0
76.0,0.810060826,1.1882821819588129E-7,76.0,42.10526315789473,-15.869715869715892,76.0,572392.0,100.0,92.0
78.0,0.828317047,1.2153156690107245E-7,78.0,43.58974358974359,-12.82051282051282,78.0,572392.0,100.0,90.0
80.0,0.84690838,1.242845383946432E-7,80.0,43.75,-12.5,80.0,572392.0,100.0,91.0
82.0,0.865574145,1.27048531646267E-7,82.0,42.68292682926829,-14.634146341463417,82.0,572392.0,100.0,91.0
84.0,0.881473363,1.2940285954325358E-7,84.0,42.857142857142854,-14.28571428571429,84.0,572392.0,100.0,96.0
86.0,0.897025057,1.3170572670499692E-7,86.0,41.86046511627907,-16.279069767441857,86.0,572392.0,100.0,96.0
88.0,0.912490773,1.3399586239756188E-7,88.0,42.04545454545455,-15.909090909090907,88.0,572392.0,100.0,87.0
90.0,0.928359181,1.3634562800459772E-7,90.0,41.11111111111111,-17.777777777777782,90.0,572392.0,100.0,90.0
92.0,0.944093544,1.3867554446666606E-7,92.0,42.391304347826086,-15.326395458845804,92.0,572392.0,100.0,88.0
94.0,0.959877276,1.4101277140236565E-7,94.0,43.61702127659575,-13.073082160689973,94.0,572392.0,100.0,79.0
96.0,0.975814726,1.4337276062585E-7,96.0,43.75,-12.941176470588237,96.0,572392.0,100.0,89.0
98.0,0.991219779,1.456539134493698E-7,98.0,43.87755102040816,-12.526096033402933,98.0,572392.0,100.0,93.0
100.0,1.006644844,1.4793802961422338E-7,100.0,44.0,-12.179487179487184,100.0,572392.0,100.0,92.0
102.0,1.022608776,1.5030194024512338E-7,102.0,43.13725490196079,-13.90065460146323,102.0,572392.0,100.0,96.0
104.0,1.038094124,1.5259498300929864E-7,104.0,42.30769230769231,-15.555555555555564,104.0,572392.0,100.0,96.0
106.0,1.053692714,1.5490479444723577E-7,106.0,42.45283018867924,-15.340706386014979,106.0,572392.0,100.0,91.0
108.0,1.071956844,1.57609314303067E-7,108.0,43.51851851851852,-13.429752066115716,108.0,572392.0,100.0,90.0
110.0,1.087565841,1.5992066679103716E-7,110.0,43.63636363636363,-13.063660477453585,110.0,572392.0,100.0,96.0
112.0,1.103356704,1.6225894967252184E-7,112.0,42.857142857142854,-14.614646626159264,112.0,572392.0,100.0,92.0
114.0,1.119182721,1.646024380957439E-7,114.0,42.98245614035088,-14.24606845513413,114.0,572392.0,100.0,93.0
116.0,1.13464504,1.6689207076659637E-7,116.0,42.241379310344826,-15.723645026801671,116.0,572392.0,100.0,93.0
118.0,1.150070982,1.691763167960487E-7,118.0,42.3728813559322,-15.552995391705101,118.0,572392.0,100.0,96.0
120.0,1.16565796,1.7148440874969798E-7,120.0,42.5,-15.19198664440735,120.0,572392.0,100.0,92.0
122.0,1.181252424,1.7379360921690037E-7,122.0,43.44262295081967,-13.480722566729582,122.0,572392.0,100.0,90.0
124.0,1.196748492,1.7608823937959146E-7,124.0,44.354838709677416,-11.872384937238483,124.0,572392.0,100.0,90.0
126.0,1.212358684,1.783997688210342E-7,126.0,45.23809523809524,-10.357958872810356,126.0,572392.0,100.0,90.0
128.0,1.227930418,1.807056034703015E-7,128.0,45.3125,-10.344827586206897,128.0,572392.0,100.0,92.0
130.0,1.243379483,1.829932735124293E-7,130.0,45.38461538461539,-10.0119189511323,130.0,572392.0,100.0,96.0
132.0,1.259292012,1.8534957247859906E-7,132.0,44.696969696969695,-11.373092926490964,132.0,572392.0,100.0,90.0
134.0,1.274631273,1.8762098293988454E-7,134.0,44.776119402985074,-11.066308243727597,134.0,572392.0,100.0,96.0
136.0,1.289860099,1.89876040382971E-7,136.0,45.588235294117645,-9.201388888888896,136.0,572392.0,100.0,91.0
138.0,1.305507258,1.9219304383196355E-7,138.0,45.65217391304348,-8.9703095388503,138.0,572392.0,100.0,93.0
140.0,1.320986783,1.9448522433666516E-7,140.0,45.0,-10.270049099836335,140.0,572392.0,100.0,91.0
142.0,1.336739256,1.9681782249529333E-7,142.0,45.07042253521127,-10.208955223880587,142.0,572392.0,100.0,96.0
144.0,1.35193575,1.9906809227337857E-7,144.0,44.44444444444444,-11.455108359133133,144.0,572392.0,100.0,90.0
146.0,1.36750563,2.0137365238562644E-7,146.0,44.52054794520548,-11.376907138820872,146.0,572392.0,100.0,91.0
148.0,1.384617193,2.039075021719457E-7,148.0,45.27027027027027,-10.062431142122678,148.0,572392.0,100.0,88.0
150.0,1.401752671,2.0644489324889047E-7,150.0,46.0,-8.81246641590543,150.0,572392.0,100.0,82.0
152.0,1.417157272,2.0872597914105493E-7,152.0,46.05263157894737,-8.817880216518246,152.0,572392.0,100.0,93.0
154.0,1.434405549,2.112800732931102E-7,154.0,46.75324675324675,-7.655583972719519,154.0,572392.0,100.0,92.0
156.0,1.451806941,2.1385684044178373E-7,156.0,46.794871794871796,-7.398805573988045,156.0,572392.0,100.0,96.0
158.0,1.468454688,2.1632200918052763E-7,158.0,46.20253164556962,-8.569118835893288,158.0,572392.0,100.0,96.0
160.0,1.484742314,2.1873385184269401E-7,160.0,46.875,-6.951871657754014,160.0,572392.0,100.0,92.0
162.0,1.502790309,2.2140636681249782E-7,162.0,46.913580246913575,-6.758620689655206,162.0,572392.0,100.0,93.0
164.0,1.520258018,2.2399295406447104E-7,164.0,46.34146341463415,-7.8947368421052655,164.0,572392.0,100.0,92.0
166.0,1.535356855,2.2622876296784938E-7,166.0,45.78313253012048,-9.003356194367425,166.0,572392.0,100.0,92.0
168.0,1.550647548,2.2849298156615763E-7,168.0,45.83333333333333,-8.982035928143715,168.0,572392.0,100.0,94.0
170.0,1.565725289,2.3072566661141194E-7,170.0,45.88235294117647,-8.974358974358976,170.0,572392.0,100.0,92.0
172.0,1.58114685,2.330092639101835E-7,172.0,45.93023255813954,-8.964577656675738,172.0,572392.0,100.0,96.0
174.0,1.596499434,2.3528264721759082E-7,174.0,45.97701149425287,-8.750000000000004,174.0,572392.0,100.0,93.0
176.0,1.611912759,2.3756502494414446E-7,176.0,46.590909090909086,-7.708333333333312,176.0,572392.0,100.0,91.0
178.0,1.628031323,2.399518332063221E-7,178.0,46.06741573033708,-8.743795341733476,178.0,572392.0,100.0,93.0
