learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
2.0,0.238589272,6.861103234011266E-8,2.0,100.0,?,2.0,1111592.0,100.0,0.0
4.0,0.430860271,1.2953814937425986E-7,4.0,75.0,0.0,4.0,1224896.0,100.0,0.0
6.0,0.523156174,1.5951106320953826E-7,6.0,66.66666666666666,0.0,6.0,1255304.0,100.0,0.0
8.0,0.60956812,1.8757317352657725E-7,8.0,75.0,0.0,8.0,1255304.0,100.0,0.0
10.0,0.694169566,2.1532117083233058E-7,10.0,60.0,0.0,10.0,1267816.0,100.0,0.0
12.0,0.782926013,2.4449954398309607E-7,12.0,58.333333333333336,0.0,12.0,1270760.0,100.0,0.0
14.0,0.837015492,2.6228127201680714E-7,14.0,50.0,-13.95348837209304,14.0,1270760.0,100.0,0.0
16.0,0.890109518,2.797357483401377E-7,16.0,56.25,-12.0,16.0,1270760.0,100.0,0.0
18.0,0.942958844,2.971097803898259E-7,18.0,61.111111111111114,-10.526315789473632,18.0,1270760.0,100.0,0.0
20.0,0.99628246,3.146397336268694E-7,20.0,55.00000000000001,-18.42105263157897,20.0,1270760.0,100.0,0.0
22.0,1.047867933,3.315982783999915E-7,22.0,54.54545454545454,-17.02127659574468,22.0,1270760.0,100.0,0.0
24.0,1.098430411,3.4822051712605687E-7,24.0,54.166666666666664,-4.761904761904797,24.0,1270760.0,100.0,0.0
26.0,1.149504332,3.6501089095896524E-7,26.0,57.692307692307686,5.298013245033114,26.0,1270760.0,100.0,0.0
28.0,1.200745292,3.818561782819633E-7,28.0,60.71428571428571,13.483146067415722,28.0,1270760.0,100.0,0.0
30.0,1.251571658,3.985651692699124E-7,30.0,56.666666666666664,9.302325581395339,30.0,1270760.0,100.0,0.0
32.0,1.301742512,4.1505866296851185E-7,32.0,59.375,18.75,32.0,1270760.0,100.0,0.0
34.0,1.383206866,4.418397859160996E-7,34.0,58.82352941176471,15.000000000000002,34.0,1270760.0,100.0,0.0
36.0,1.427810069,4.5650293371936104E-7,36.0,58.333333333333336,14.556962025316453,36.0,1270760.0,100.0,0.0
38.0,1.470400031,4.7050423554831915E-7,38.0,57.89473684210527,11.884057971014496,38.0,1270760.0,100.0,0.0
40.0,1.511646556,4.840638871375989E-7,40.0,55.00000000000001,7.928388746803082,40.0,1270760.0,100.0,0.0
42.0,1.550871425,4.969589263506028E-7,42.0,52.38095238095239,2.7777777777777812,42.0,1270760.0,100.0,0.0
44.0,1.59032615,5.09929529923894E-7,44.0,52.27272727272727,2.531645569620245,44.0,1270760.0,100.0,0.0
46.0,1.629999978,5.229721628461345E-7,46.0,54.347826086956516,8.695652173913038,46.0,1270760.0,100.0,0.0
48.0,1.669484224,5.359524713454666E-7,48.0,56.25,10.954063604240279,48.0,1270760.0,100.0,0.0
