learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
2.0,0.203224437,5.105049347246066E-8,2.0,100.0,?,2.0,971016.0,100.0,0.0
4.0,0.435492371,1.2354195478217264E-7,4.0,75.0,0.0,4.0,1206424.0,100.0,0.0
6.0,0.534053456,1.5563983849355538E-7,6.0,66.66666666666666,0.0,6.0,1258848.0,100.0,0.0
8.0,0.616289612,1.8247658003172735E-7,8.0,75.0,0.0,8.0,1261448.0,100.0,0.0
10.0,0.699868013,2.0983091464222305E-7,10.0,70.0,28.571428571428548,10.0,1265128.0,100.0,0.0
12.0,0.769424754,2.326787370911137E-7,12.0,58.333333333333336,6.250000000000003,12.0,1269720.0,100.0,0.0
14.0,0.83056404,2.5276983992441455E-7,14.0,50.0,-8.888888888888873,14.0,1270240.0,100.0,0.0
16.0,0.887768539,2.715679245460841E-7,16.0,56.25,-3.7037037037037033,16.0,1270240.0,100.0,0.0
18.0,0.944782506,2.903110678349477E-7,18.0,61.111111111111114,0.0,18.0,1270760.0,100.0,0.0
20.0,0.999816715,3.0840337256926425E-7,20.0,55.00000000000001,-9.75609756097559,20.0,1270760.0,100.0,0.0
22.0,1.052806677,3.258236382146532E-7,22.0,50.0,-17.475728155339798,22.0,1270760.0,100.0,0.0
24.0,1.105452938,3.4313091335209297E-7,24.0,50.0,-9.090909090909081,24.0,1270760.0,100.0,0.0
26.0,1.15695865,3.6006323697396866E-7,26.0,53.84615384615385,0.6369426751592389,26.0,1270760.0,100.0,0.0
28.0,1.20832946,3.76951212032694E-7,28.0,57.14285714285714,8.69565217391303,28.0,1270760.0,100.0,0.0
30.0,1.258563092,3.934653437803769E-7,30.0,56.666666666666664,10.958904109589044,30.0,1270760.0,100.0,0.0
32.0,1.307052304,4.094060035222273E-7,32.0,59.375,18.75,32.0,1270760.0,100.0,0.0
34.0,1.377258681,4.324861056996986E-7,34.0,55.88235294117647,10.526315789473689,34.0,1270760.0,100.0,0.0
36.0,1.418663338,4.460977426338072E-7,36.0,55.55555555555556,9.717868338558013,36.0,1270760.0,100.0,0.0
38.0,1.457779268,4.589569685295804E-7,38.0,55.26315789473685,7.977207977207993,38.0,1270760.0,100.0,0.0
40.0,1.497155366,4.7190172375017985E-7,40.0,55.00000000000001,8.860759493670898,40.0,1270760.0,100.0,0.0
42.0,1.531725191,4.832664334439631E-7,42.0,52.38095238095239,3.6697247706421985,42.0,1270760.0,100.0,0.0
44.0,1.565323887,4.943118878577381E-7,44.0,54.54545454545454,8.1419624217119,44.0,1270760.0,100.0,0.0
46.0,1.598167926,5.051092514083576E-7,46.0,56.52173913043478,13.043478260869556,46.0,1270760.0,100.0,0.0
48.0,1.631388957,5.160305497673505E-7,48.0,58.333333333333336,15.936952714535908,48.0,1270760.0,100.0,0.0
