learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
9.0,0.210521058,5.7588935484625404E-8,9.0,44.44444444444444,-4.651162790697674,9.0,1057416.0,100.0,0.0
18.0,0.385382903,1.0569999052678545E-7,18.0,50.0,-17.391304347826086,18.0,1063536.0,100.0,0.0
27.0,0.481671842,1.3219269077354422E-7,27.0,59.25925925925925,5.7142857142857135,27.0,1063536.0,100.0,0.0
36.0,0.572616635,1.572150159229835E-7,36.0,52.77777777777778,-0.6578947368421083,36.0,1063536.0,100.0,0.0
45.0,0.664460092,1.8248459726012004E-7,45.0,57.77777777777777,12.844036697247695,45.0,1063536.0,100.0,0.0
54.0,0.754818928,2.0734570365152013E-7,54.0,57.407407407407405,9.606986899563323,54.0,1063536.0,100.0,0.0
63.0,0.868586487,2.3864742812469603E-7,63.0,55.55555555555556,5.769230769230775,63.0,1063536.0,100.0,0.0
72.0,0.919522995,2.526619728073478E-7,72.0,56.94444444444444,8.823529411764698,72.0,1063536.0,100.0,0.0
81.0,0.966606952,2.6561653614750756E-7,81.0,58.0246913580247,11.161290322580662,81.0,1063536.0,100.0,0.0
90.0,1.013271369,2.7845566829092805E-7,90.0,56.666666666666664,10.138248847926263,90.0,1063536.0,100.0,0.0
99.0,1.057890293,2.907320085553577E-7,99.0,60.60606060606061,16.30175590721873,99.0,1063536.0,100.0,0.0
108.0,1.100614108,3.024869332221772E-7,108.0,60.18518518518518,16.594827586206886,108.0,1063536.0,100.0,0.0
117.0,1.142865851,3.1411197316785663E-7,117.0,58.97435897435898,15.319662243667075,117.0,1063536.0,100.0,0.0
126.0,1.183252652,3.2522389758960666E-7,126.0,57.14285714285714,11.151736745886627,126.0,1063536.0,100.0,0.0
135.0,1.220518899,3.3547724051088107E-7,135.0,56.2962962962963,9.354728576305916,135.0,1063536.0,100.0,0.0
144.0,1.258083443,3.4581265613009547E-7,144.0,56.94444444444444,11.146496815286607,144.0,1063536.0,100.0,0.0
153.0,1.300105637,3.573745385323218E-7,153.0,58.82352941176471,13.559322033898317,153.0,1063536.0,100.0,0.0
162.0,1.343540092,3.6932498692906164E-7,162.0,59.876543209876544,14.348462664714493,162.0,1063536.0,100.0,0.0
171.0,1.388504853,3.8169647992931317E-7,171.0,59.06432748538012,12.71693160274174,171.0,1063536.0,100.0,0.0
180.0,1.437903447,3.952878867621721E-7,180.0,58.88888888888889,12.655737704918032,180.0,1063536.0,100.0,0.0
189.0,1.485765992,4.084566688767201E-7,189.0,58.730158730158735,12.113985930606889,189.0,1063536.0,100.0,0.0
198.0,1.523150991,4.18742684929222E-7,198.0,58.58585858585859,12.08576998050682,198.0,1063536.0,100.0,0.0
207.0,1.559597956,4.2877061262971425E-7,207.0,58.93719806763285,12.397311426437625,207.0,1063536.0,100.0,0.0
216.0,1.594602823,4.3840176505739506E-7,216.0,59.72222222222222,13.000000000000009,216.0,1063536.0,100.0,0.0
225.0,1.627087423,4.473394974633556E-7,225.0,60.0,13.261372397841164,225.0,1063536.0,100.0,0.0
234.0,1.663431187,4.5733903069625316E-7,234.0,61.111111111111114,15.760740564918116,234.0,1063536.0,100.0,0.0
243.0,1.714874516,4.7149302085385987E-7,243.0,61.31687242798354,16.695842450765852,243.0,1063536.0,100.0,0.0
252.0,1.756647463,4.829863260536891E-7,252.0,60.71428571428571,15.096651238769379,252.0,1063536.0,100.0,0.0
261.0,1.799284591,4.947173998739821E-7,261.0,60.15325670498084,14.732675755481564,261.0,1063536.0,100.0,0.0
270.0,1.839249329,5.057131989270202E-7,270.0,59.25925925925925,13.046024124604743,270.0,1063536.0,100.0,0.0
279.0,1.873589352,5.151614278228209E-7,279.0,58.78136200716846,12.41503562361805,279.0,1063536.0,100.0,0.0
288.0,1.90954067,5.250529844350493E-7,288.0,59.02777777777778,12.63304025913928,288.0,1063536.0,100.0,0.0
297.0,1.948793204,5.358528294430799E-7,297.0,59.59595959595959,14.0625,297.0,1063536.0,100.0,0.0
306.0,1.982482735,5.451220835807425E-7,306.0,59.150326797385624,12.802626179729188,306.0,1063536.0,100.0,0.0
315.0,2.021748986,5.55925702650187E-7,315.0,59.36507936507937,13.598765696652809,315.0,1063536.0,100.0,0.0
324.0,2.06098584,5.667212335018442E-7,324.0,59.876543209876544,14.002205071664827,324.0,1063536.0,100.0,0.0
