learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
22.0,0.017987492,1.2208972284197807E-9,22.0,68.18181818181817,-8.450704225352123,22.0,262368.0,100.0,73.0
44.0,0.059591719,4.044775367453694E-9,44.0,65.9090909090909,2.94117647058821,44.0,262368.0,100.0,97.0
66.0,0.083065296,5.638039458990097E-9,66.0,65.15151515151516,5.479452054794496,66.0,262368.0,100.0,98.0
88.0,0.099315782,6.7410377712547775E-9,88.0,59.09090909090909,3.2376298106292194,88.0,262368.0,100.0,93.0
110.0,0.114813623,7.792950462773443E-9,110.0,54.54545454545454,-2.6119402985074847,110.0,262368.0,100.0,98.0
132.0,0.128855389,8.746032370552421E-9,132.0,54.54545454545454,2.390929258072451,132.0,262368.0,100.0,91.0
154.0,0.141503931,9.604549492970109E-9,154.0,56.493506493506494,5.21771082123828,154.0,262368.0,100.0,85.0
176.0,0.152479918,1.0349542297273874E-8,176.0,57.38636363636363,5.199655271473712,176.0,262368.0,100.0,87.0
198.0,0.163849388,1.1121242677271365E-8,198.0,59.59595959595959,8.173913043478253,198.0,262368.0,100.0,90.0
220.0,0.174719888,1.1859075573682784E-8,220.0,59.54545454545455,7.484407484407482,220.0,262368.0,100.0,98.0
242.0,0.185287096,1.2576322589516639E-8,242.0,57.85123966942148,4.51802568466656,242.0,262368.0,100.0,98.0
264.0,0.196896767,1.3364326561763882E-8,264.0,59.84848484848485,7.759245830311835,264.0,262368.0,100.0,98.0
286.0,0.208255779,1.4135317107215524E-8,286.0,58.74125874125874,5.794997766860209,286.0,262368.0,100.0,98.0
308.0,0.219268311,1.4882790395691991E-8,308.0,57.7922077922078,5.472401907549932,308.0,262368.0,100.0,96.0
330.0,0.230079961,1.5616628860756754E-8,330.0,57.27272727272727,5.927782944482651,330.0,262368.0,100.0,93.0
352.0,0.24089938,1.635099464505911E-8,352.0,57.38636363636363,6.782952579358081,352.0,262368.0,100.0,93.0
374.0,0.251119487,1.704468225367367E-8,374.0,56.68449197860963,4.687893279637572,374.0,262368.0,100.0,93.0
396.0,0.261928688,1.777835449337959E-8,396.0,56.060606060606055,3.7304048956324873,396.0,262368.0,100.0,98.0
418.0,0.272485859,1.8494920249953866E-8,418.0,56.2200956937799,3.0420564301467787,418.0,262368.0,100.0,85.0
440.0,0.283301015,1.9228996684029697E-8,440.0,56.81818181818182,3.4575143774395576,440.0,262368.0,100.0,98.0
462.0,0.294014367,1.9956163193061946E-8,462.0,57.14285714285714,4.347826086956511,462.0,262368.0,100.0,98.0
484.0,0.304889686,2.0694323178082702E-8,484.0,56.81818181818182,3.646269907795489,484.0,262368.0,100.0,98.0
506.0,0.315577508,2.1419756843745706E-8,506.0,56.7193675889328,4.138479904496605,506.0,262368.0,100.0,93.0
528.0,0.326524522,2.216278311178088E-8,528.0,56.81818181818182,4.3158948924603004,528.0,262368.0,100.0,98.0
550.0,0.337240226,2.2890109262317415E-8,550.0,57.45454545454546,5.314734704687929,550.0,262368.0,100.0,93.0
572.0,0.347981783,2.361919017978012E-8,572.0,56.993006993006986,4.636946473833307,572.0,262368.0,100.0,98.0
594.0,0.358478514,2.433165358409285E-8,594.0,56.3973063973064,3.3108337418454767,594.0,262368.0,100.0,95.0
616.0,0.368684496,2.5024382461309428E-8,616.0,56.33116883116883,2.8151832215079953,616.0,262368.0,100.0,94.0
638.0,0.378197286,2.5670061077624555E-8,638.0,56.112852664576806,2.575233690732011,638.0,262368.0,100.0,91.0
660.0,0.388223893,2.635061491452157E-8,660.0,55.15151515151515,0.7438117302768025,660.0,262368.0,100.0,91.0
682.0,0.397483284,2.6979094127118582E-8,682.0,54.83870967741935,0.5086913276180428,682.0,262368.0,100.0,98.0
704.0,0.406839188,2.761412413924932E-8,704.0,54.6875,-0.23566378633150709,704.0,262368.0,100.0,98.0
726.0,0.416315333,2.8257315483912822E-8,726.0,54.6831955922865,0.016743827806465765,726.0,262368.0,100.0,95.0
748.0,0.425858785,2.890507527701556E-8,748.0,54.41176470588235,-0.1602136181575529,748.0,262368.0,100.0,95.0
770.0,0.435844831,2.9582876044586297E-8,770.0,54.41558441558442,-0.43403616472565315,770.0,262368.0,100.0,91.0
792.0,0.445420675,3.023283443786203E-8,792.0,54.292929292929294,-0.4034291477559213,792.0,262368.0,100.0,95.0
814.0,0.454725421,3.0864392111524934E-8,814.0,54.54545454545454,0.19617459538988977,814.0,262368.0,100.0,95.0
836.0,0.464360989,3.151840425871312E-8,836.0,54.54545454545454,-0.07812696892563752,836.0,262368.0,100.0,98.0
858.0,0.474588174,3.221257228508591E-8,858.0,54.77855477855478,0.17152658662091227,858.0,262368.0,100.0,98.0
880.0,0.484072082,3.2856290541738265E-8,880.0,54.659090909090914,-0.2627070245574002,880.0,262368.0,100.0,91.0
902.0,0.493724015,3.351141345985233E-8,902.0,54.87804878048781,0.12840532555648437,902.0,262368.0,100.0,91.0
924.0,0.508031932,3.4483122933852585E-8,924.0,55.41125541125541,1.2887065742185986,924.0,262520.0,100.0,98.0
946.0,0.525282217,3.566212228630772E-8,946.0,55.17970401691332,0.8351422312983149,946.0,264192.0,100.0,94.0
968.0,0.537957593,3.653292774006517E-8,968.0,54.85537190082644,0.10862480990656295,968.0,265560.0,100.0,83.0
990.0,0.549969234,3.736380216064966E-8,990.0,55.55555555555556,0.7952775272608092,990.0,267384.0,100.0,79.0
1012.0,0.565437462,3.8459323590799334E-8,1012.0,55.400000000000006,0.6774421991706766,1012.0,273768.0,100.0,62.0
1034.0,0.577933344,3.935219356590675E-8,1034.0,54.7,0.3922741345341982,1034.0,276200.0,100.0,53.0
1056.0,0.589195014,4.0158646569703186E-8,1056.0,54.800000000000004,0.41640044944811705,1056.0,276808.0,100.0,47.0
1078.0,0.600252617,4.0952225499138646E-8,1078.0,55.400000000000006,1.600427133571901,1078.0,277416.0,100.0,48.0
1100.0,0.611267617,4.17431800459346E-8,1100.0,56.00000000000001,2.259146544638695,1100.0,277568.0,100.0,52.0
1122.0,0.622333278,4.2537772409189494E-8,1122.0,56.49999999999999,2.738525381891015,1122.0,277568.0,100.0,48.0
1144.0,0.633086058,4.330989771392818E-8,1144.0,56.99999999999999,3.636273995688275,1144.0,277568.0,100.0,47.0
1166.0,0.643889084,4.408563103520415E-8,1166.0,56.99999999999999,3.9131911546505713,1166.0,277568.0,100.0,47.0
1188.0,0.654560342,4.48519024864191E-8,1188.0,56.99999999999999,4.189375270163652,1188.0,277568.0,100.0,47.0
1210.0,0.665283107,4.562187250284892E-8,1210.0,56.99999999999999,4.3287885799722154,1210.0,277568.0,100.0,51.0
1232.0,0.67591408,4.63852512074531E-8,1232.0,57.4,4.679220965201187,1232.0,277568.0,100.0,51.0
1254.0,0.686888822,4.7173314946428355E-8,1254.0,57.599999999999994,4.701968893284173,1254.0,277568.0,100.0,47.0
1276.0,0.697774166,4.795495927963199E-8,1276.0,57.99999999999999,5.604825840903656,1276.0,277568.0,100.0,45.0
1298.0,0.708745983,4.8742812983014936E-8,1298.0,58.4,5.78344687635887,1298.0,277568.0,100.0,51.0
1320.0,0.719462747,4.951235208539707E-8,1320.0,58.4,5.639834506786649,1320.0,277568.0,100.0,47.0
1342.0,0.729596238,5.024000808007395E-8,1342.0,58.5,4.733483311142709,1342.0,277568.0,100.0,47.0
1364.0,0.739627644,5.096033365306135E-8,1364.0,58.099999999999994,3.9730849620475754,1364.0,277568.0,100.0,51.0
1386.0,0.749598883,5.1676338811866536E-8,1386.0,59.0,5.491627941284935,1386.0,277568.0,100.0,47.0
1408.0,0.759534294,5.238977126803871E-8,1408.0,59.199999999999996,6.5784351887893955,1408.0,277568.0,100.0,45.0
1430.0,0.77010291,5.314867230104284E-8,1430.0,58.8,6.4210598042110325,1430.0,277568.0,100.0,47.0
1452.0,0.780648621,5.3905928593793274E-8,1452.0,59.3,7.3407946380599265,1452.0,277568.0,100.0,45.0
1474.0,0.790856302,5.463891195277581E-8,1474.0,59.4,7.92189236386726,1474.0,277568.0,100.0,47.0
1496.0,0.801040351,5.53701983677865E-8,1496.0,59.4,7.790980776917743,1496.0,277568.0,100.0,47.0
1518.0,0.81143309,5.611647019399745E-8,1518.0,59.699999999999996,7.645063708864229,1518.0,277568.0,100.0,47.0
1540.0,0.825615348,5.71348561630336E-8,1540.0,59.599999999999994,7.49433288301695,1540.0,277568.0,100.0,47.0
1562.0,0.836953313,5.794900187053822E-8,1562.0,59.5,7.350640081256906,1562.0,277568.0,100.0,47.0
1584.0,0.846806329,5.865651778564065E-8,1584.0,60.8,10.101227852107328,1584.0,277568.0,100.0,47.0
1606.0,0.857966442,5.945789246744788E-8,1606.0,61.5,11.506458879235046,1606.0,277568.0,100.0,47.0
1628.0,0.875422073,6.071132966278536E-8,1628.0,61.199999999999996,11.061395144135547,1628.0,277568.0,100.0,47.0
1650.0,0.89442673,6.207599783023407E-8,1650.0,62.1,12.464662515474588,1650.0,277568.0,100.0,51.0
1672.0,0.912368912,6.336437281274342E-8,1672.0,62.7,13.714132375938041,1672.0,277568.0,100.0,47.0
1694.0,0.926969034,6.441276435878751E-8,1694.0,63.0,14.340351250862396,1694.0,277568.0,100.0,47.0
1716.0,0.93627464,6.50809723820641E-8,1716.0,63.9,16.06759232564845,1716.0,277568.0,100.0,47.0
1738.0,0.945773213,6.576303679444933E-8,1738.0,64.2,16.563730859766466,1738.0,277568.0,100.0,45.0
1760.0,0.955704059,6.647614145148341E-8,1760.0,64.2,16.843200654104884,1760.0,277568.0,100.0,45.0
1782.0,0.964105114,6.707939634482275E-8,1782.0,64.3,17.153227079059487,1782.0,277568.0,100.0,45.0
1804.0,0.972847514,6.770716221226796E-8,1804.0,65.10000000000001,18.85758925665183,1804.0,277568.0,100.0,47.0
