learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
22.0,0.006591009,9.316659526278575E-12,22.0,72.72727272727273,0.0,22.0,5464.0
44.0,0.016297145,2.3036677876694335E-11,44.0,70.45454545454545,0.0,44.0,5464.0
66.0,0.019052897,2.693204550900393E-11,66.0,69.6969696969697,0.0,66.0,5464.0
88.0,0.021611177,3.0548278430683743E-11,88.0,64.77272727272727,0.0,88.0,5464.0
110.0,0.023364413,3.3026548886878624E-11,110.0,63.63636363636363,0.0,110.0,5464.0
132.0,0.024977564,3.5306803493036165E-11,132.0,59.84848484848485,0.0,132.0,5464.0
154.0,0.026415821,3.7339838310662246E-11,154.0,61.68831168831169,0.0,154.0,5464.0
176.0,0.027580899,3.898672349130114E-11,176.0,63.06818181818182,0.0,176.0,5464.0
198.0,0.02884793,4.077772338771158E-11,198.0,64.14141414141415,0.0,198.0,5464.0
220.0,0.030034921,4.2455583485878173E-11,220.0,65.0,0.0,220.0,5464.0
242.0,0.032521013,4.596977573095096E-11,242.0,64.46280991735537,0.0,242.0,5464.0
264.0,0.033933293,4.796609100161327E-11,264.0,65.53030303030303,0.0,264.0,5464.0
286.0,0.035554696,5.0258010145690705E-11,286.0,65.03496503496503,0.0,286.0,5464.0
308.0,0.036598502,5.1733472417626114E-11,308.0,63.961038961038966,0.0,308.0,5464.0
330.0,0.037705107,5.329770363246401E-11,330.0,63.030303030303024,0.0,330.0,5464.0
352.0,0.038624588,5.459742745591534E-11,352.0,62.78409090909091,0.0,352.0,5464.0
374.0,0.039580628,5.5948828914099265E-11,374.0,63.101604278074866,0.0,374.0,5464.0
396.0,0.040546835,5.731460184065832E-11,396.0,62.878787878787875,0.0,396.0,5464.0
418.0,0.041643891,5.886533515527845E-11,418.0,63.8755980861244,0.0,418.0,5464.0
440.0,0.042645858,6.028165629754464E-11,440.0,64.31818181818181,0.0,440.0,5464.0
462.0,0.043354477,6.128331810029017E-11,462.0,64.28571428571429,0.0,462.0,5464.0
484.0,0.044206145,6.248718548773064E-11,484.0,64.25619834710744,0.0,484.0,5464.0
506.0,0.044830372,6.336955576307244E-11,506.0,63.63636363636363,0.0,506.0,5464.0
528.0,0.045940566,6.493886017551025E-11,528.0,63.82575757575758,0.0,528.0,5464.0
550.0,0.04652382,6.57633134474357E-11,550.0,64.36363636363637,0.0,550.0,5464.0
572.0,0.047470739,6.710182200082475E-11,572.0,64.16083916083916,0.0,572.0,5464.0
594.0,0.048091376,6.797911766502592E-11,594.0,64.14141414141415,0.0,594.0,5464.0
616.0,0.048656188,6.877750241922007E-11,616.0,64.44805194805194,0.0,616.0,5464.0
638.0,0.049242667,6.960651435992784E-11,638.0,64.1065830721003,0.0,638.0,5464.0
660.0,0.049828496,7.04346074991756E-11,660.0,63.93939393939394,0.0,660.0,5464.0
682.0,0.050405765,7.12506007299655E-11,682.0,63.78299120234604,0.0,682.0,5464.0
704.0,0.050967424,7.204452859030829E-11,704.0,64.0625,0.0,704.0,5464.0
726.0,0.05155381,7.287340907173023E-11,726.0,63.91184573002755,0.0,726.0,5464.0
748.0,0.052154302,7.372222895837492E-11,748.0,63.63636363636363,0.0,748.0,5464.0
770.0,0.052780568,7.460748144321971E-11,770.0,63.76623376623377,0.0,770.0,5464.0
792.0,0.05337837,7.54524989053607E-11,792.0,63.63636363636363,0.0,792.0,5464.0
814.0,0.054034155,7.637947769835592E-11,814.0,63.63636363636363,0.0,814.0,5464.0
836.0,0.05540805,7.832153420895338E-11,836.0,63.8755980861244,0.0,836.0,5464.0
858.0,0.055967006,7.911164126876328E-11,858.0,64.1025641025641,0.0,858.0,5464.0
880.0,0.056554038,7.99414348974824E-11,880.0,64.20454545454545,0.0,880.0,5464.0
902.0,0.057152019,8.078670538341006E-11,902.0,64.30155210643017,0.0,902.0,5464.0
924.0,0.05771308,8.157978794640965E-11,924.0,64.39393939393939,0.0,924.0,5464.0
946.0,0.058339932,8.246586876610915E-11,946.0,64.37632135306553,0.0,946.0,5464.0
968.0,0.058911865,8.32743193436828E-11,968.0,64.35950413223141,0.0,968.0,5464.0
