learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
74.0,0.390686193,8.34424333133921E-8,74.0,82.43243243243244,64.71019809244314,74.0,825584.0,50.0,0.0
148.0,0.609684979,1.3021601252846007E-7,148.0,89.86486486486487,79.52029520295204,148.0,825584.0,50.0,0.0
222.0,0.771861016,1.6485343610488708E-7,222.0,92.7927927927928,85.55627846454131,222.0,825584.0,50.0,0.0
296.0,0.948452939,2.0256979266579368E-7,296.0,92.56756756756756,85.0676450355423,296.0,825584.0,50.0,0.0
370.0,1.091728847,2.335649201239687E-7,370.0,93.51351351351352,86.99777439381515,370.0,836224.0,50.0,0.0
444.0,1.179674543,2.528324433447462E-7,444.0,93.01801801801803,86.00650671004473,444.0,846864.0,50.0,0.0
518.0,1.247124648,2.6760970389802426E-7,518.0,93.43629343629344,86.83490558985783,518.0,846864.0,50.0,0.0
592.0,1.318955313,2.83529529691827E-7,592.0,93.58108108108108,87.14881462439304,592.0,856704.0,50.0,0.0
666.0,1.391615317,2.996230865398381E-7,666.0,93.54354354354354,87.08778574327066,666.0,856168.0,50.0,0.0
740.0,1.461004396,3.1520714327099013E-7,740.0,93.91891891891892,87.83890382143274,740.0,868144.0,50.0,0.0
814.0,1.52726161,3.3008781609018236E-7,814.0,94.1031941031941,88.20688656010044,814.0,868144.0,50.0,0.0
888.0,1.592930792,3.4483642311199264E-7,888.0,94.25675675675676,88.51467873156282,888.0,868144.0,50.0,0.0
962.0,1.658951267,3.5966392684377736E-7,962.0,94.07484407484408,88.15009789556942,962.0,868144.0,50.0,0.0
1036.0,1.721565186,3.738676028327396E-7,1036.0,94.89999999999999,89.79730648891307,1036.0,876864.0,50.0,0.0
1110.0,1.777832467,3.8664787669407003E-7,1110.0,94.3,88.59835816357554,1110.0,877984.0,50.0,0.0
1184.0,1.844278077,4.01753757837183E-7,1184.0,93.8,87.59900792063364,1184.0,878784.0,50.0,0.0
1258.0,1.899785013,4.1437281841672134E-7,1258.0,93.8,87.59955358392901,1258.0,878784.0,50.0,0.0
1332.0,1.955804282,4.2710835383039386E-7,1332.0,94.1,88.19971679320304,1332.0,878784.0,50.0,0.0
1406.0,2.038155292,4.458302012041377E-7,1406.0,94.1,88.2000943992448,1406.0,878784.0,50.0,0.0
1480.0,2.088293575,4.572287412087785E-7,1480.0,94.69999999999999,89.39770990533954,1480.0,878784.0,50.0,0.0
1554.0,2.144409853,4.699863308473097E-7,1554.0,94.69999999999999,89.39915193215457,1554.0,878784.0,50.0,0.0
1628.0,2.192282843,4.80869874499109E-7,1628.0,95.1,90.19717678691462,1628.0,878784.0,50.0,0.0
1702.0,2.241750843,4.921160309929318E-7,1702.0,95.1,90.19780430816502,1702.0,878784.0,50.0,0.0
1776.0,2.290653144,5.032335803168184E-7,1776.0,94.8,89.59404779533892,1776.0,878784.0,50.0,0.0
1850.0,2.368993437,5.210436230686969E-7,1850.0,95.1,90.19286040237292,1850.0,878784.0,50.0,0.0
1924.0,2.416330227,5.31805265913672E-7,1924.0,95.19999999999999,90.3888895563271,1924.0,878784.0,50.0,0.0
1998.0,2.464546182,5.427667799314029E-7,1998.0,95.89999999999999,91.79488000512319,1998.0,878784.0,50.0,0.0
2072.0,2.509489466,5.528668934417102E-7,2072.0,96.3,92.59733504061461,2072.0,868688.0,50.0,0.0
2146.0,2.554857429,5.630624451515368E-7,2146.0,97.0,93.99848761887995,2146.0,868688.0,50.0,0.0
2220.0,2.605743935,5.747416684604726E-7,2220.0,97.5,94.99915985885629,2220.0,887184.0,50.0,0.0
2294.0,2.653299332,5.856563518366135E-7,2294.0,97.5,94.99783906647671,2294.0,887184.0,50.0,0.0
2368.0,2.7015093,5.967352377519591E-7,2368.0,97.8,95.5995775594457,2368.0,888304.0,50.0,0.0
2442.0,2.766922654,6.123041914562716E-7,2442.0,97.1,94.18926175572457,2442.0,920016.0,50.0,0.0
2516.0,2.81576006,6.240690232632972E-7,2516.0,97.1,94.19023960253224,2516.0,931184.0,50.0,0.0
2590.0,2.867214136,6.363404645796038E-7,2590.0,97.2,94.39679496672096,2590.0,921888.0,50.0,0.0
2664.0,2.92004699,6.492241524290956E-7,2664.0,97.2,94.38915985684342,2664.0,942624.0,50.0,0.0
2738.0,2.975274993,6.628325045678061E-7,2738.0,97.2,94.38812527307783,2738.0,952464.0,50.0,0.0
2812.0,3.036822491,6.78324090356773E-7,2812.0,97.39999999999999,94.79398184301051,2812.0,972944.0,50.0,0.0
2886.0,3.102688808,6.952418859983318E-7,2886.0,97.3,94.59935192223067,2886.0,992848.0,50.0,0.0
2960.0,3.167862688,7.127118223382201E-7,2960.0,97.2,94.39858844428795,2960.0,1036144.0,50.0,0.0
3034.0,3.22983151,7.29663786790909E-7,3034.0,97.2,94.3999775999104,3034.0,1057424.0,50.0,0.0
3108.0,3.299654345,7.491787087926393E-7,3108.0,96.89999999999999,93.79950396031683,3108.0,1080368.0,50.0,0.0
3182.0,3.380343104,7.713155894607243E-7,3182.0,96.7,93.39809865241189,3182.0,1060488.0,50.0,0.0
3256.0,3.473198452,8.005358321736774E-7,3256.0,96.39999999999999,92.8,3256.0,1216408.0,50.0,0.0
3330.0,3.559273413,8.29284264153832E-7,3330.0,96.39999999999999,92.7990782820201,3330.0,1291040.0,50.0,0.0
3404.0,3.659064794,8.647122167462794E-7,3404.0,96.5,93.0,3404.0,1372320.0,50.0,0.0
3478.0,3.739400839,8.934984899788785E-7,3478.0,97.0,93.99469130711549,3478.0,1385088.0,50.0,0.0
3552.0,3.824140769,9.243061338252181E-7,3552.0,97.1,94.19698243086404,3552.0,1405312.0,50.0,0.0
3626.0,3.90929954,9.564070601491113E-7,3626.0,97.1,94.18609313477837,3626.0,1457104.0,50.0,0.0
3700.0,3.995517032,9.89137258143721E-7,3700.0,97.5,94.98495486459377,3700.0,1467424.0,50.0,0.0
3774.0,4.096974956,1.0285079044136632E-6,3774.0,97.3,94.59013240150033,3774.0,1499992.0,50.0,0.0
3848.0,4.224129246,1.0810631742891442E-6,3848.0,96.1,92.18436873747494,3848.0,1597672.0,50.0,0.0
3922.0,4.333617307,1.127868621678905E-6,3922.0,95.6,91.19239022515453,3922.0,1652464.0,50.0,0.0
3996.0,4.421510854,1.1661679892281381E-6,3996.0,95.0,89.98858698916764,3996.0,1684368.0,50.0,0.0
4070.0,4.509257939,1.2043782937102435E-6,4070.0,95.39999999999999,90.79473458818444,4070.0,1683256.0,50.0,0.0
4144.0,4.602716429,1.2463151335568272E-6,4144.0,95.0,89.98974950349157,4144.0,1734520.0,50.0,0.0
4218.0,4.687780054,1.2845096631901237E-6,4218.0,95.3,90.59503417804599,4218.0,1735640.0,50.0,0.0
4292.0,4.785327226,1.3285838072141283E-6,4292.0,95.3,90.59887186462375,4292.0,1746512.0,50.0,0.0
4366.0,4.881324248,1.373064777683978E-6,4366.0,95.39999999999999,90.7928183983507,4366.0,1791096.0,50.0,0.0
4440.0,4.972539425,1.4153489208427281E-6,4440.0,95.1,90.19835332335832,4440.0,1791896.0,50.0,0.0
4514.0,5.066459762,1.4591055618399406E-6,4514.0,95.19999999999999,90.3975417706933,4514.0,1800888.0,50.0,0.0
4588.0,5.160647236,1.5032860734811078E-6,4588.0,95.3,90.59661478132128,4588.0,1813176.0,50.0,0.0
4662.0,5.257785048,1.549109837648511E-6,4662.0,95.0,90.00015999744004,4662.0,1823496.0,50.0,0.0
