learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
3.0,0.128051985,2.737388342336441E-8,3.0,66.66666666666666,0.0,3.0,826328.0,100.0,1.85,0.14520970554979645,2573.1200000000003,122.97366169512509,0.7999999999999999,0.04020151261036849,0.7999999999999999,0.04020151261036849,0.7999999999999999,0.04020151261036849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.3217612,7.225081968169866E-8,6.0,50.0,0.0,6.0,895520.0,100.0,4.670000000000001,0.22565505095211588,3265.0399999999995,34.075833197162005,0.99,0.009999999999999998,0.99,0.009999999999999998,0.99,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,0.421423777,9.556299052186517E-8,9.0,55.55555555555556,5.263157894736842,9.0,904176.0,100.0,6.969999999999998,0.31477264522480064,3351.600000000001,8.438392302237704,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,0.475704745,1.0829416858645984E-7,12.0,41.66666666666667,-16.666666666666664,12.0,906616.0,100.0,10.780000000000001,0.36806345522301864,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,0.521667422,1.190743563165764E-7,15.0,46.666666666666664,-11.111111111111112,15.0,906616.0,100.0,12.37,0.41987371838915977,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,0.566995179,1.2970562850825281E-7,18.0,50.0,-8.000000000000012,18.0,906616.0,100.0,15.870000000000001,0.4789835618528599,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.61424399,1.4078746894598006E-7,21.0,47.61904761904761,-14.925373134328348,21.0,906616.0,100.0,23.869999999999994,0.6217692254341395,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,0.661363219,1.5183891693536398E-7,24.0,50.0,-9.090909090909081,24.0,906616.0,100.0,28.01,0.6877712504381766,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,0.708905234,1.629895260865241E-7,27.0,48.148148148148145,-15.950920245398779,27.0,906616.0,100.0,30.989999999999995,0.7238358818395116,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,0.757315248,1.743437176393262E-7,30.0,46.666666666666664,-19.402985074626837,30.0,906616.0,100.0,35.14000000000001,0.7732941473875503,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,0.807768391,1.861771091781701E-7,33.0,51.515151515151516,-4.347826086956526,33.0,906616.0,100.0,36.849999999999994,0.808712032503011,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,0.853807215,1.9697515659376767E-7,36.0,52.77777777777778,-0.6578947368421083,36.0,906616.0,100.0,40.04,0.8115230723582032,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39.0,0.897004774,2.0710680744392999E-7,39.0,51.28205128205128,-3.6363636363636473,39.0,906616.0,100.0,44.110000000000014,0.8288844883031015,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,0.940158781,2.1722824351186754E-7,42.0,54.761904761904766,3.389830508474588,42.0,906616.0,100.0,45.419999999999995,0.8489066051353497,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45.0,0.980716295,2.2674069237960496E-7,45.0,55.55555555555556,7.597535934291589,45.0,906616.0,100.0,47.49999999999999,0.8468002757856817,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48.0,1.019025471,2.3572581108942413E-7,48.0,54.166666666666664,4.347826086956506,48.0,906616.0,100.0,52.11000000000001,0.8620969267496037,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51.0,1.052271808,2.4352348036353365E-7,51.0,56.86274509803921,11.09350237717908,51.0,906616.0,100.0,54.469999999999985,0.8750705599255895,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54.0,1.088225048,2.519560326429828E-7,54.0,57.407407407407405,11.158798283261799,54.0,906616.0,100.0,57.39,0.89294598115033,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57.0,1.12257482,2.6001250399791936E-7,57.0,59.64912280701754,15.582743077913708,57.0,906616.0,100.0,60.599999999999994,0.8729376850727674,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,1.156175799,2.678933517896114E-7,60.0,61.66666666666667,18.246445497630344,60.0,906616.0,100.0,60.999999999999986,0.8709683453408964,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,1.219279882,2.8269392272408626E-7,63.0,61.904761904761905,17.82608695652175,63.0,906616.0,100.0,63.80999999999999,0.8938278821049849,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66.0,1.25147945,2.9024608048610375E-7,66.0,62.121212121212125,17.417417417417422,66.0,906616.0,100.0,66.34999999999998,0.8969505014326051,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69.0,1.283026155,2.976451143188504E-7,69.0,63.76811594202898,20.907840440165053,69.0,906616.0,100.0,69.04999999999995,0.9202958461519015,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72.0,1.315933107,3.0536318348583855E-7,72.0,63.888888888888886,21.80451127819548,72.0,906616.0,100.0,71.34999999999998,0.9275116051984351,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75.0,1.343465542,3.118207015709412E-7,75.0,65.33333333333333,24.826522744795675,75.0,906616.0,100.0,73.32000000000005,0.9397915092232318,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
78.0,1.37171785,3.18447060258645E-7,78.0,65.38461538461539,24.190064794816415,78.0,906616.0,100.0,75.90000000000005,0.9639460146667546,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81.0,1.400368303,3.251668007535879E-7,81.0,66.66666666666666,25.688073394495397,81.0,906616.0,100.0,76.66,0.9709123065811387,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84.0,1.427733382,3.3158506679299787E-7,84.0,67.85714285714286,30.514705882352942,84.0,906616.0,100.0,80.60000000000001,1.0065442430073865,3376.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
