learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.153572993,3.46691834087318E-8,3.0,33.33333333333333,-50.000000000000014,3.0,872632.0,100.0,0.0
6.0,0.300072031,6.895086362136528E-8,6.0,16.666666666666664,-66.66666666666667,6.0,904544.0,100.0,85.0
9.0,0.368459878,8.5000183132682E-8,9.0,33.33333333333333,-35.00000000000001,9.0,907152.0,100.0,47.0
12.0,0.427395102,9.883639766863031E-8,12.0,41.66666666666667,-16.666666666666664,12.0,907496.0,100.0,57.0
15.0,0.488132117,1.1309938948320433E-7,15.0,46.666666666666664,-7.142857142857144,15.0,907736.0,100.0,41.0
18.0,0.547477459,1.2703557201010487E-7,18.0,50.0,-2.5316455696202644,18.0,907736.0,100.0,69.0
21.0,0.607029114,1.4102020342159813E-7,21.0,42.857142857142854,-16.66666666666665,21.0,907736.0,100.0,40.0
24.0,0.665895789,1.548439796423457E-7,24.0,41.66666666666667,-20.00000000000001,24.0,907736.0,100.0,65.0
27.0,0.722216366,1.680698506987861E-7,27.0,37.03703703703704,-27.146814404432128,27.0,907736.0,100.0,56.0
30.0,0.780021107,1.8164425088500815E-7,30.0,40.0,-19.999999999999996,30.0,907736.0,100.0,43.0
33.0,0.841008462,1.9596603053054258E-7,33.0,45.45454545454545,-8.394160583941598,33.0,907736.0,100.0,40.0
36.0,0.89930761,2.0965653327784815E-7,36.0,44.44444444444444,-11.111111111111116,36.0,907736.0,100.0,43.0
39.0,0.954650699,2.2265285891881424E-7,39.0,43.58974358974359,-14.400000000000007,39.0,907736.0,100.0,59.0
42.0,1.007471645,2.3505690479489254E-7,42.0,45.23809523809524,-10.526315789473676,42.0,907736.0,100.0,35.0
45.0,1.059367872,2.4724379710279205E-7,45.0,46.666666666666664,-6.2992125984251714,45.0,907736.0,100.0,35.0
48.0,1.10954263,2.590264334844488E-7,48.0,45.83333333333333,-8.333333333333337,48.0,907736.0,100.0,38.0
51.0,1.155697408,2.6986505011415115E-7,51.0,49.01960784313725,-1.6871165644171804,51.0,907736.0,100.0,37.0
54.0,1.186504154,2.7709945842400405E-7,54.0,48.148148148148145,-2.997275204359655,54.0,907736.0,100.0,38.0
57.0,1.217942975,2.844822981401616E-7,57.0,47.368421052631575,-4.9079754601227075,57.0,907736.0,100.0,40.0
60.0,1.247317115,2.91380284786034E-7,60.0,50.0,-0.7838745800672,60.0,907736.0,100.0,39.0
63.0,1.284584559,3.00131871421006E-7,63.0,49.2063492063492,-2.0242914979757,63.0,907736.0,100.0,40.0
66.0,1.317536798,3.0787011004088034E-7,66.0,50.0,-1.6806722689075575,66.0,907736.0,100.0,41.0
69.0,1.350559311,3.156248512413767E-7,69.0,50.72463768115942,0.2551020408163364,69.0,907736.0,100.0,40.0
72.0,1.382768017,3.231884845551973E-7,72.0,52.77777777777778,4.8951048951049,72.0,907736.0,100.0,35.0
75.0,1.437000579,3.3592402297257555E-7,75.0,54.666666666666664,8.405172413793098,75.0,907736.0,100.0,35.0
78.0,1.464721784,3.424338476652301E-7,78.0,55.12820512820513,8.939292861907946,78.0,907736.0,100.0,39.0
81.0,1.491107891,3.486301486879174E-7,81.0,55.55555555555556,9.384711000621508,81.0,907736.0,100.0,40.0
84.0,1.521660577,3.5580489559194703E-7,84.0,57.14285714285714,13.747860810039933,84.0,907736.0,100.0,37.0
87.0,1.548488385,3.621049221228354E-7,87.0,56.32183908045977,11.839999999999993,87.0,907736.0,100.0,38.0
90.0,1.572389878,3.6771775638897603E-7,90.0,56.666666666666664,12.816691505216117,90.0,907736.0,100.0,56.0
93.0,1.595800582,3.732153377160369E-7,93.0,54.83870967741935,9.41558441558441,93.0,907736.0,100.0,40.0
96.0,1.619343129,3.7874387999219624E-7,96.0,56.25,12.00349192492361,96.0,907736.0,100.0,36.0
99.0,1.642569134,3.841980880924833E-7,99.0,55.55555555555556,10.847318870241514,99.0,907736.0,100.0,41.0
102.0,1.666213419,3.8975052170181454E-7,102.0,55.88235294117647,11.764705882352944,102.0,907736.0,100.0,48.0
105.0,1.690161077,3.953741969850371E-7,105.0,56.19047619047619,11.635565312843028,105.0,907736.0,100.0,36.0
108.0,1.714299225,4.0104260540686976E-7,108.0,56.481481481481474,11.506276150627613,108.0,907736.0,100.0,41.0
111.0,1.738241672,4.0666505698078844E-7,111.0,57.65765765765766,13.697270471464018,111.0,907736.0,100.0,40.0
114.0,1.762538204,4.1237065902656786E-7,114.0,58.77192982456141,15.194681861348522,114.0,907736.0,100.0,40.0
117.0,1.786169375,4.179200130496755E-7,117.0,58.97435897435898,14.960629921259835,117.0,907736.0,100.0,43.0
120.0,1.809993254,4.235146210686636E-7,120.0,58.333333333333336,13.46985866743583,120.0,907736.0,100.0,43.0
123.0,1.833235156,4.289725622924977E-7,123.0,59.34959349593496,15.429042904290421,123.0,907736.0,100.0,38.0
126.0,1.856709861,4.344851730993433E-7,126.0,60.317460317460316,17.301128905224456,126.0,907736.0,100.0,40.0
129.0,1.880196759,4.400006472121843E-7,129.0,59.68992248062015,15.85549422980431,129.0,907736.0,100.0,37.0
132.0,1.903523253,4.4547845334053466E-7,132.0,60.60606060606061,17.021276595744673,132.0,907736.0,100.0,37.0
135.0,1.926665024,4.5091288060614437E-7,135.0,61.48148148148148,18.750000000000004,135.0,907736.0,100.0,37.0
138.0,1.950355349,4.564761258785635E-7,138.0,60.86956521739131,17.584605175846065,138.0,907736.0,100.0,41.0
141.0,1.97428435,4.620954199020504E-7,141.0,61.702127659574465,18.60166773572804,141.0,907736.0,100.0,41.0
144.0,1.99756703,4.675629371032389E-7,144.0,62.5,20.798533306172335,144.0,907736.0,100.0,37.0
147.0,2.020702224,4.729958198790978E-7,147.0,63.26530612244898,21.7314139223033,147.0,907736.0,100.0,37.0
150.0,2.044109467,4.784925884527715E-7,150.0,63.33333333333333,21.59285306975859,150.0,907736.0,100.0,43.0
153.0,2.070315057,4.846464983159098E-7,153.0,63.39869281045751,21.83908045977011,153.0,907736.0,100.0,52.0
156.0,2.093578073,4.901093977815866E-7,156.0,62.17948717948718,19.545454545454525,156.0,907736.0,100.0,42.0
159.0,2.121389576,4.966404273298777E-7,159.0,62.264150943396224,20.020120724346082,159.0,907736.0,100.0,48.0
162.0,2.16217397,5.062179061997951E-7,162.0,61.111111111111114,17.8657653307581,162.0,907736.0,100.0,43.0
165.0,2.203299546,5.158755055048918E-7,165.0,61.212121212121204,18.354723983299813,165.0,907736.0,100.0,45.0
168.0,2.242404793,5.250586670064554E-7,168.0,60.11904761904761,16.10017889087657,168.0,907736.0,100.0,39.0
171.0,2.299241328,5.384455777922935E-7,171.0,59.64912280701754,15.72744803942575,171.0,910448.0,100.0,43.0
174.0,2.337584964,5.474801234111852E-7,174.0,59.195402298850574,14.670534604227095,174.0,910784.0,100.0,52.0
177.0,2.366774868,5.543359329661396E-7,177.0,59.32203389830508,14.698795180722882,177.0,907880.0,100.0,42.0
180.0,2.39545322,5.610485064385335E-7,180.0,60.0,15.526007039499415,180.0,904768.0,100.0,42.0
183.0,2.424862628,5.68036822342674E-7,183.0,60.65573770491803,16.3109756097561,183.0,918520.0,100.0,42.0
186.0,2.454943882,5.752576856585593E-7,186.0,60.215053763440864,15.288035450516995,186.0,927888.0,100.0,44.0
189.0,2.48687311,5.829453408281506E-7,189.0,59.78835978835979,14.295942720763744,189.0,930696.0,100.0,46.0
192.0,2.521562102,5.91595192773127E-7,192.0,60.416666666666664,15.034354256434135,192.0,963872.0,100.0,44.0
195.0,2.553892634,5.996893375408485E-7,195.0,60.0,13.88291246744423,195.0,967744.0,100.0,47.0
198.0,2.589463843,6.088141145969659E-7,198.0,60.60606060606061,15.124203121565195,198.0,991576.0,100.0,45.0
201.0,2.624424824,6.179419712143309E-7,201.0,61.19402985074627,16.827586206896555,201.0,1009224.0,100.0,40.0
204.0,2.658014818,6.267535222973924E-7,204.0,61.274509803921575,16.773393926874622,204.0,1014016.0,100.0,46.0
207.0,2.696658203,6.370348303657481E-7,207.0,61.83574879227053,17.42994193385508,207.0,1028432.0,100.0,46.0
210.0,2.732425626,6.467791146139925E-7,210.0,62.38095238095238,18.057887977872173,210.0,1053088.0,100.0,45.0
213.0,2.770727198,6.574032420534683E-7,213.0,62.441314553990615,17.81614739075913,213.0,1072208.0,100.0,40.0
216.0,2.808061287,6.679317767773652E-7,216.0,62.96296296296296,18.91891891891893,216.0,1090096.0,100.0,40.0
219.0,2.848465154,6.79633569976108E-7,219.0,63.4703196347032,20.931492011914447,219.0,1119520.0,100.0,40.0
222.0,2.885547187,6.904798138572607E-7,222.0,63.96396396396396,21.5062317687616,222.0,1130624.0,100.0,40.0
225.0,2.921786661,7.011009153328671E-7,225.0,64.0,21.379578102756565,225.0,1132896.0,100.0,40.0
228.0,2.965248509,7.138425352952216E-7,228.0,64.47368421052632,22.818455366098302,228.0,1133232.0,100.0,40.0
231.0,3.004466713,7.255193511139104E-7,231.0,63.63636363636363,21.237213833414508,231.0,1150904.0,100.0,40.0
234.0,3.04803516,7.386000611818333E-7,234.0,63.24786324786324,20.4836415362731,234.0,1160544.0,100.0,47.0
237.0,3.095198278,7.528698223223413E-7,237.0,63.29113924050633,21.214321195216076,237.0,1169544.0,100.0,43.0
240.0,3.144115062,7.676786799561108E-7,240.0,63.74999999999999,22.52894033837933,240.0,1170216.0,100.0,41.0
243.0,3.194880222,7.830471070218707E-7,243.0,62.96296296296296,21.04693140794224,243.0,1170216.0,100.0,50.0
246.0,3.246046238,7.98540064320229E-7,246.0,62.601626016260155,20.21996615905245,246.0,1170456.0,100.0,46.0
249.0,3.298662449,8.144721374803595E-7,249.0,62.65060240963856,20.38711451851343,249.0,1170456.0,100.0,39.0
252.0,3.333191146,8.24927351116476E-7,252.0,63.095238095238095,21.281741233373634,252.0,1170456.0,100.0,39.0
255.0,3.370911039,8.363488518944072E-7,255.0,63.13725490196078,21.20315581854042,255.0,1170456.0,100.0,47.0
258.0,3.412995655,8.49091981213012E-7,258.0,63.565891472868216,22.069408740359897,258.0,1170456.0,100.0,42.0
261.0,3.448369317,8.598030483958187E-7,261.0,63.2183908045977,21.276863139374143,261.0,1170456.0,100.0,45.0
264.0,3.484339993,8.706948901069474E-7,264.0,63.63636363636363,21.772948947465885,264.0,1170456.0,100.0,52.0
267.0,3.531945226,8.851096501314019E-7,267.0,63.670411985018724,21.56809303170709,267.0,1170456.0,100.0,45.0
270.0,3.57546237,8.982865457829708E-7,270.0,63.70370370370371,21.831610044313155,270.0,1170456.0,100.0,46.0
273.0,3.611993648,9.093481365487724E-7,273.0,64.1025641025641,22.299024163568788,273.0,1170456.0,100.0,45.0
276.0,3.648769619,9.204838198176956E-7,276.0,64.13043478260869,22.551020408163254,276.0,1170456.0,100.0,53.0
279.0,3.685961756,9.317455172376334E-7,279.0,63.799283154121866,22.138100632754014,279.0,1170456.0,100.0,42.0
282.0,3.722591377,9.428368860479008E-7,282.0,64.18439716312056,22.92579964279916,282.0,1170456.0,100.0,42.0
285.0,3.755722788,9.528690045512715E-7,285.0,64.56140350877193,24.016049415305016,285.0,1170456.0,100.0,42.0
288.0,3.799126089,9.660114287924083E-7,288.0,64.93055555555556,25.36179821410244,288.0,1170456.0,100.0,42.0
291.0,3.84180655,9.789349786687021E-7,291.0,65.29209621993127,25.800913887556494,291.0,1170456.0,100.0,42.0
294.0,3.882057246,9.91122801038089E-7,294.0,65.64625850340136,26.51818856718633,294.0,1170456.0,100.0,42.0
297.0,3.913549078,1.0006584586203223E-6,297.0,65.993265993266,27.22177742193755,297.0,1170456.0,100.0,42.0
300.0,3.945162523,1.010230940351927E-6,300.0,66.33333333333333,27.62969332186872,300.0,1170456.0,100.0,42.0
303.0,3.976204737,1.0196304545909974E-6,303.0,66.66666666666666,28.311743071985745,303.0,1170456.0,100.0,42.0
306.0,4.007224253,1.0290230959255064E-6,306.0,66.99346405228758,28.98111126430441,306.0,1170456.0,100.0,42.0
309.0,4.038796561,1.0385831214638367E-6,309.0,66.99029126213593,29.03908501440922,309.0,1170456.0,100.0,45.0
